epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,8.25877,1.97935,2.55933,0.00675,0.00151,0.01626,0.00017,0.00012,1.72841,2.60595,0.00523,0.000322222,0.000322222,0.000322222
2,14.7638,1.97298,2.14142,0.00673,0.03016,0.25974,0.1175,0.06859,1.82612,2.27104,0.00583,0.000642576,0.000642576,0.000642576
3,21.2397,1.977,1.76497,0.0064,0.48366,0.15936,0.16364,0.08837,1.85363,1.80285,0.00618,0.000949729,0.000949729,0.000949729
4,30.5866,1.96571,1.60146,0.00624,0.42861,0.2197,0.17678,0.09468,1.78984,1.66751,0.00568,0.0009406,0.0009406,0.0009406
5,36.9701,1.91338,1.50583,0.00629,0.42914,0.25225,0.22527,0.12962,1.80918,1.51605,0.00577,0.0009208,0.0009208,0.0009208
6,43.4279,1.8644,1.43407,0.00612,0.55668,0.23885,0.24698,0.13213,1.84348,1.41433,0.00619,0.000901,0.000901,0.000901
7,49.9127,1.89196,1.31107,0.00579,0.49875,0.255,0.26077,0.14902,1.79882,1.32269,0.00571,0.0008812,0.0008812,0.0008812
8,56.7339,1.84332,1.24456,0.0058,0.66632,0.25065,0.2611,0.15085,1.82643,1.26605,0.00603,0.0008614,0.0008614,0.0008614
9,66.08,1.86724,1.1868,0.00562,0.33837,0.268,0.27212,0.15729,1.81536,1.22607,0.00589,0.0008416,0.0008416,0.0008416
10,72.7137,1.92812,1.1855,0.00567,0.48924,0.30172,0.27592,0.15525,1.8025,1.17435,0.00577,0.0008218,0.0008218,0.0008218
11,79.7297,1.85858,1.13165,0.00577,0.35903,0.29243,0.28131,0.16208,1.81173,1.13118,0.0059,0.000802,0.000802,0.000802
12,87.0024,1.82173,1.11459,0.00581,0.36982,0.30688,0.29029,0.17454,1.72715,1.07819,0.00547,0.0007822,0.0007822,0.0007822
13,94.4887,1.84958,1.05643,0.00552,0.37623,0.28001,0.28179,0.15498,1.83657,1.08437,0.00603,0.0007624,0.0007624,0.0007624
14,104.972,1.82118,1.02033,0.0056,0.5378,0.28895,0.28803,0.17178,1.76227,1.04283,0.0055,0.0007426,0.0007426,0.0007426
15,112.356,1.812,0.98166,0.00531,0.35736,0.30718,0.30479,0.1759,1.77968,1.01418,0.00552,0.0007228,0.0007228,0.0007228
16,119.688,1.87587,0.98138,0.00538,0.48595,0.28581,0.31412,0.17628,1.84739,0.99681,0.0059,0.000703,0.000703,0.000703
17,126.299,1.84492,0.95679,0.00551,0.70116,0.28127,0.31437,0.18132,1.8602,0.96499,0.0059,0.0006832,0.0006832,0.0006832
18,135.528,1.84221,0.92534,0.00517,0.35565,0.33273,0.32082,0.191,1.78115,0.94279,0.00558,0.0006634,0.0006634,0.0006634
19,142.132,1.83418,0.90517,0.00535,0.42356,0.30154,0.32209,0.1938,1.74532,0.91945,0.00537,0.0006436,0.0006436,0.0006436
20,148.709,1.80897,0.88463,0.00517,0.39995,0.34066,0.34269,0.20498,1.72075,0.91326,0.0054,0.0006238,0.0006238,0.0006238
21,155.039,1.81303,0.89489,0.00526,0.4816,0.30886,0.32719,0.19215,1.73453,0.89694,0.00537,0.000604,0.000604,0.000604
22,161.457,1.73859,0.85907,0.00523,0.41424,0.34654,0.33856,0.19033,1.81378,0.89379,0.00573,0.0005842,0.0005842,0.0005842
23,171.055,1.74291,0.8715,0.00537,0.62648,0.30923,0.33345,0.19804,1.73178,0.87636,0.00533,0.0005644,0.0005644,0.0005644
24,177.395,1.76038,0.84115,0.00515,0.72766,0.30111,0.34486,0.20202,1.74298,0.86937,0.00522,0.0005446,0.0005446,0.0005446
25,183.787,1.70634,0.82273,0.00528,0.48781,0.32007,0.34656,0.20505,1.78403,0.8491,0.00554,0.0005248,0.0005248,0.0005248
26,190.091,1.757,0.83401,0.00526,0.59191,0.33974,0.34709,0.20174,1.7642,0.85618,0.00564,0.000505,0.000505,0.000505
27,196.544,1.7928,0.81479,0.00508,0.56832,0.35326,0.33914,0.2031,1.73837,0.84806,0.00521,0.0004852,0.0004852,0.0004852
28,206.063,1.77006,0.80057,0.00526,0.58646,0.31821,0.3325,0.20091,1.72887,0.83392,0.0052,0.0004654,0.0004654,0.0004654
29,212.666,1.74056,0.79878,0.00516,0.57593,0.34736,0.3453,0.21075,1.71172,0.83137,0.00505,0.0004456,0.0004456,0.0004456
