epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,41.4663,1.82725,2.48521,0.00578,0.84873,0.20814,0.22157,0.14969,1.49452,1.85191,0.00439,0.000322222,0.000322222,0.000322222
2,48.6711,1.73448,1.38417,0.00557,0.68782,0.27978,0.32909,0.21203,1.58862,1.08198,0.005,0.000651229,0.000651229,0.000651229
3,55.3296,1.76858,1.03231,0.00536,0.79618,0.29494,0.34465,0.21485,1.59004,0.90857,0.00495,0.000975836,0.000975836,0.000975836
4,61.7845,1.78957,0.90233,0.00544,0.61005,0.33694,0.37669,0.23652,1.56824,0.88855,0.00519,0.0009802,0.0009802,0.0009802
5,68.509,1.7108,0.81728,0.00538,0.72205,0.37196,0.40171,0.23788,1.56628,0.76413,0.00483,0.0009736,0.0009736,0.0009736
6,77.6866,1.68087,0.76765,0.00539,0.67799,0.38663,0.39844,0.22228,1.67815,0.7573,0.00547,0.000967,0.000967,0.000967
7,84.5079,1.71601,0.71993,0.00509,0.63617,0.3943,0.38358,0.23515,1.57155,0.73418,0.00481,0.0009604,0.0009604,0.0009604
8,91.4621,1.66607,0.68497,0.00514,0.66913,0.38215,0.40929,0.2423,1.58006,0.71421,0.00522,0.0009538,0.0009538,0.0009538
9,97.9487,1.67234,0.67299,0.00483,0.52441,0.40048,0.41415,0.23838,1.61042,0.71717,0.00509,0.0009472,0.0009472,0.0009472
10,104.601,1.73196,0.67983,0.00496,0.54111,0.392,0.41512,0.25183,1.58786,0.68691,0.00503,0.0009406,0.0009406,0.0009406
11,113.607,1.6909,0.65639,0.00515,0.66369,0.41448,0.41277,0.24666,1.62002,0.68897,0.00521,0.000934,0.000934,0.000934
12,120.089,1.65701,0.65336,0.00516,0.67408,0.39517,0.41071,0.25651,1.55197,0.68526,0.00469,0.0009274,0.0009274,0.0009274
13,126.585,1.65554,0.61727,0.00468,0.53835,0.40247,0.41561,0.25276,1.61656,0.68458,0.00528,0.0009208,0.0009208,0.0009208
14,133.024,1.62851,0.60627,0.00483,0.68442,0.40902,0.41313,0.25005,1.56216,0.68096,0.0047,0.0009142,0.0009142,0.0009142
15,139.818,1.65072,0.59434,0.00464,0.69008,0.4042,0.41664,0.24951,1.61781,0.69871,0.00485,0.0009076,0.0009076,0.0009076
16,149.303,1.68387,0.61882,0.00467,0.54412,0.40137,0.41917,0.24505,1.72221,0.68037,0.00527,0.000901,0.000901,0.000901
17,155.897,1.65162,0.60184,0.00481,0.55826,0.36998,0.41313,0.25264,1.59644,0.66345,0.00486,0.0008944,0.0008944,0.0008944
18,162.568,1.66831,0.58613,0.0046,0.52456,0.4023,0.4307,0.25931,1.61409,0.67254,0.00505,0.0008878,0.0008878,0.0008878
19,169.272,1.64807,0.58326,0.00464,0.5208,0.39145,0.41474,0.26615,1.52035,0.67085,0.00445,0.0008812,0.0008812,0.0008812
20,176.162,1.61807,0.56316,0.00449,0.68439,0.38866,0.40984,0.25737,1.53217,0.66763,0.00475,0.0008746,0.0008746,0.0008746
21,184.849,1.6459,0.57919,0.00465,0.70618,0.38505,0.40446,0.24012,1.63838,0.69293,0.0053,0.000868,0.000868,0.000868
22,191.234,1.59556,0.54254,0.00469,0.72235,0.39096,0.41301,0.25598,1.58253,0.66627,0.00484,0.0008614,0.0008614,0.0008614
23,197.614,1.56657,0.56126,0.0047,0.57563,0.40383,0.42532,0.26845,1.50477,0.67032,0.00441,0.0008548,0.0008548,0.0008548
24,204.474,1.59022,0.5444,0.00456,0.71267,0.39767,0.42066,0.27305,1.49143,0.66363,0.00452,0.0008482,0.0008482,0.0008482
25,213.696,1.53915,0.53899,0.00465,0.73847,0.38336,0.41679,0.26361,1.56335,0.6861,0.00471,0.0008416,0.0008416,0.0008416
26,220.455,1.58063,0.56034,0.00473,0.70379,0.38653,0.41823,0.25041,1.63703,0.6814,0.00519,0.000835,0.000835,0.000835
27,226.851,1.61164,0.54088,0.00447,0.67922,0.41774,0.42149,0.25781,1.61335,0.68126,0.00491,0.0008284,0.0008284,0.0008284
28,233.255,1.57105,0.53954,0.00451,0.75665,0.39497,0.43349,0.26517,1.56655,0.6706,0.00473,0.0008218,0.0008218,0.0008218
29,239.859,1.55758,0.52962,0.00454,0.69698,0.38913,0.41452,0.27037,1.47291,0.67057,0.00426,0.0008152,0.0008152,0.0008152
30,248.962,1.59206,0.54578,0.00462,0.6453,0.42334,0.41794,0.26228,1.53973,0.67106,0.00463,0.0008086,0.0008086,0.0008086
31,255.664,1.54214,0.52049,0.00435,0.71302,0.39178,0.41564,0.25206,1.61953,0.68433,0.00489,0.000802,0.000802,0.000802
32,262.142,1.52121,0.5194,0.00439,0.53603,0.4242,0.42808,0.26431,1.55216,0.66983,0.0048,0.0007954,0.0007954,0.0007954
33,268.534,1.59655,0.53151,0.00429,0.50963,0.42117,0.42072,0.25956,1.57375,0.6707,0.00485,0.0007888,0.0007888,0.0007888
34,275.236,1.49724,0.49558,0.0042,0.57137,0.39411,0.42608,0.26598,1.52923,0.66599,0.00462,0.0007822,0.0007822,0.0007822
35,284.41,1.56759,0.51748,0.00449,0.73505,0.40457,0.42667,0.27217,1.50497,0.66861,0.00447,0.0007756,0.0007756,0.0007756
36,291.357,1.61922,0.52963,0.0044,0.5309,0.39008,0.41272,0.25811,1.57363,0.69695,0.00484,0.000769,0.000769,0.000769
37,297.99,1.54735,0.51077,0.00434,0.53427,0.412,0.42214,0.26391,1.57196,0.66096,0.00476,0.0007624,0.0007624,0.0007624
38,304.697,1.54973,0.49601,0.00429,0.54772,0.39833,0.42441,0.25996,1.58726,0.6869,0.00469,0.0007558,0.0007558,0.0007558
39,311.294,1.50445,0.48952,0.0042,0.5482,0.39916,0.40969,0.2633,1.51726,0.66711,0.00455,0.0007492,0.0007492,0.0007492
40,320.113,1.52541,0.48053,0.00404,0.54699,0.4225,0.42314,0.26328,1.56721,0.66794,0.00481,0.0007426,0.0007426,0.0007426
41,326.743,1.49747,0.49294,0.00407,0.56194,0.42031,0.43116,0.26833,1.5405,0.663,0.00493,0.000736,0.000736,0.000736
42,333.367,1.54994,0.49771,0.00418,0.52915,0.41623,0.43206,0.27293,1.5117,0.68166,0.00447,0.0007294,0.0007294,0.0007294
43,339.982,1.54134,0.50186,0.00423,0.53942,0.41558,0.42813,0.27049,1.56015,0.67007,0.00471,0.0007228,0.0007228,0.0007228
44,346.589,1.53504,0.49435,0.00419,0.52138,0.41184,0.42882,0.27132,1.52979,0.66902,0.00467,0.0007162,0.0007162,0.0007162
45,355.245,1.53862,0.48084,0.00401,0.54687,0.42049,0.42992,0.27637,1.51314,0.66301,0.00455,0.0007096,0.0007096,0.0007096
46,362.092,1.50643,0.45159,0.00389,0.52535,0.40782,0.41942,0.27203,1.5063,0.67373,0.00426,0.000703,0.000703,0.000703
47,368.605,1.48073,0.475,0.00412,0.53921,0.41739,0.43085,0.26602,1.56431,0.68178,0.00463,0.0006964,0.0006964,0.0006964
48,375.195,1.49917,0.4765,0.00404,0.71198,0.40977,0.42065,0.26611,1.527,0.69184,0.00469,0.0006898,0.0006898,0.0006898
49,381.84,1.51877,0.4934,0.00415,0.52324,0.41551,0.42509,0.2701,1.51799,0.6799,0.00456,0.0006832,0.0006832,0.0006832
50,390.442,1.52446,0.46359,0.00392,0.72487,0.39771,0.43269,0.27445,1.52457,0.68867,0.00458,0.0006766,0.0006766,0.0006766
51,397.208,1.50406,0.48845,0.00425,0.52007,0.41734,0.43836,0.28443,1.49351,0.66302,0.00446,0.00067,0.00067,0.00067
52,404.029,1.46576,0.45959,0.00415,0.70009,0.40384,0.42368,0.27386,1.49703,0.67802,0.00449,0.0006634,0.0006634,0.0006634
53,410.663,1.49882,0.46099,0.00404,0.72047,0.41224,0.43687,0.27398,1.53314,0.66808,0.00454,0.0006568,0.0006568,0.0006568
54,419.316,1.48273,0.46877,0.00407,0.67908,0.41208,0.42717,0.2791,1.48,0.6666,0.00427,0.0006502,0.0006502,0.0006502
55,425.903,1.50184,0.47017,0.0039,0.53609,0.40903,0.43222,0.27383,1.52579,0.67958,0.00448,0.0006436,0.0006436,0.0006436
56,432.609,1.49847,0.46481,0.00393,0.70931,0.39583,0.42966,0.27077,1.54212,0.67732,0.00458,0.000637,0.000637,0.000637
57,439.213,1.46963,0.45661,0.004,0.53848,0.40959,0.42702,0.27296,1.50305,0.68504,0.00434,0.0006304,0.0006304,0.0006304
58,445.859,1.50158,0.47781,0.00421,0.49023,0.45463,0.43692,0.26534,1.59691,0.67271,0.0047,0.0006238,0.0006238,0.0006238
59,454.559,1.51313,0.45679,0.00404,0.59512,0.38429,0.43084,0.27212,1.53301,0.7009,0.00466,0.0006172,0.0006172,0.0006172
