epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,45.6785,1.72898,0.27554,0.00518,0.52261,0.31255,0.29185,0.19882,1.38299,0.44298,0.0042,0.000354232,0.000354232,0.000354232
2,54.2403,1.66028,0.15113,0.00509,0.30695,0.3635,0.30636,0.21261,1.37908,0.39261,0.00433,0.000719783,0.000719783,0.000719783
3,62.6383,1.6754,0.1338,0.00509,0.38456,0.34946,0.34297,0.23138,1.41657,0.14153,0.00484,0.00108045,0.00108045,0.00108045
4,71.1885,1.62447,0.12594,0.00496,0.3189,0.38403,0.34574,0.23069,1.44708,0.15341,0.00489,0.001089,0.001089,0.001089
5,82.1782,1.66418,0.11732,0.00487,0.40113,0.40052,0.38636,0.26524,1.43114,0.14254,0.00452,0.00108167,0.00108167,0.00108167
6,90.6244,1.63404,0.11691,0.00472,0.4631,0.42669,0.42072,0.27026,1.5118,0.12705,0.00499,0.00107434,0.00107434,0.00107434
7,99.7361,1.64106,0.11368,0.00443,0.65574,0.41727,0.43468,0.28026,1.47797,0.12342,0.00511,0.001067,0.001067,0.001067
8,110.794,1.64245,0.11629,0.00466,0.56962,0.4286,0.46775,0.30431,1.479,0.11904,0.0047,0.00105967,0.00105967,0.00105967
9,119.506,1.60015,0.11224,0.00459,0.52747,0.43869,0.45146,0.30412,1.45336,0.11285,0.00468,0.00105234,0.00105234,0.00105234
10,127.687,1.56174,0.11052,0.00467,0.51502,0.4467,0.47521,0.30552,1.50745,0.10821,0.00526,0.00104501,0.00104501,0.00104501
11,136.088,1.59788,0.11148,0.00451,0.52618,0.46608,0.47034,0.29753,1.5888,0.11236,0.00559,0.00103767,0.00103767,0.00103767
12,147.085,1.58775,0.11237,0.0047,0.59342,0.48905,0.48015,0.31372,1.48655,0.10787,0.00479,0.00103034,0.00103034,0.00103034
13,155.665,1.56816,0.10775,0.00439,0.64324,0.4745,0.49925,0.31508,1.46957,0.10964,0.00472,0.00102301,0.00102301,0.00102301
14,164.255,1.58138,0.10692,0.00442,0.53254,0.46651,0.49753,0.33448,1.37176,0.10711,0.00427,0.00101568,0.00101568,0.00101568
15,172.68,1.53985,0.10669,0.00417,0.61896,0.50245,0.50921,0.33456,1.39639,0.10373,0.00459,0.00100834,0.00100834,0.00100834
16,183.914,1.55314,0.10609,0.00426,0.64795,0.49984,0.52252,0.33223,1.38143,0.11299,0.00449,0.00100101,0.00100101,0.00100101
17,192.259,1.55065,0.10542,0.00452,0.57581,0.46798,0.52804,0.33538,1.45173,0.1079,0.00485,0.000993678,0.000993678,0.000993678
18,200.899,1.57995,0.10431,0.0043,0.61282,0.5455,0.55549,0.36646,1.35597,0.10659,0.00432,0.000986346,0.000986346,0.000986346
19,209.459,1.56588,0.10557,0.00436,0.65828,0.51247,0.54295,0.36773,1.34292,0.10003,0.00419,0.000979013,0.000979013,0.000979013
20,220.812,1.55528,0.1054,0.00421,0.65703,0.49754,0.53625,0.35472,1.37973,0.10201,0.0045,0.000971681,0.000971681,0.000971681
21,229.01,1.52992,0.09943,0.0041,0.65426,0.52514,0.53718,0.35135,1.37331,0.10344,0.00441,0.000964348,0.000964348,0.000964348
22,237.364,1.54921,0.10163,0.00412,0.79068,0.4811,0.5588,0.35738,1.41923,0.11931,0.00455,0.000957015,0.000957015,0.000957015
