epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,26.7008,1.91069,3.58269,4.2551,0.00567,11.5457,0.04108,0.17532,0.08525,0.05605,0.04026,0.16422,0.08396,0.04975,1.68061,2.96978,4.03579,0.00554,0,0.000366308,0.000366308,0.000366308
2,48.6649,1.93161,3.25923,2.91234,0.00545,5.58439,0.48271,0.20951,0.18426,0.10669,0.47108,0.19882,0.16695,0.08251,1.72255,2.81327,2.83185,0.00545,0,0.00073421,0.00073421,0.00073421
3,67.9408,1.96231,3.20128,2.51436,0.0056,3.28849,0.48959,0.22525,0.20516,0.11635,0.463,0.21331,0.18386,0.09105,1.80372,2.91196,2.56919,0.00648,0,0.00109967,0.00109967,0.00109967
4,87.8649,1.95233,3.15696,2.41232,0.00571,2.66786,0.52382,0.23005,0.23465,0.14089,0.53833,0.21369,0.20905,0.11078,1.749,2.87653,2.3217,0.00611,0,0.0011,0.0011,0.0011
5,108.375,1.97551,3.16973,2.23196,0.00569,2.43632,0.55139,0.28216,0.25868,0.15358,0.52052,0.24772,0.21946,0.12013,1.75937,2.80654,2.19856,0.00612,0,0.00109633,0.00109633,0.00109633
6,128.59,1.98935,3.12818,2.15778,0.00578,2.25083,0.72551,0.25751,0.26491,0.15538,0.7228,0.24043,0.24287,0.12996,1.78117,2.72073,2.11043,0.00635,0,0.00109267,0.00109267,0.00109267
7,149.316,1.93574,3.0478,2.04861,0.0054,1.75311,0.43093,0.29873,0.28985,0.1734,0.40884,0.28106,0.26823,0.14681,1.74908,2.82962,1.93761,0.00589,0,0.001089,0.001089,0.001089
8,170.368,1.91817,3.01452,1.96613,0.00534,1.2905,0.38193,0.2999,0.28184,0.1733,0.35377,0.26946,0.25326,0.13628,1.70278,2.73305,1.94249,0.00549,0,0.00108534,0.00108534,0.00108534
9,190.875,1.94359,3.01749,1.92443,0.00529,1.24659,0.64492,0.29787,0.29905,0.17783,0.61887,0.28198,0.27408,0.14469,1.73008,2.73935,1.84323,0.00601,0,0.00108167,0.00108167,0.00108167
10,211.716,1.89028,2.98249,1.89873,0.00532,1.22938,0.41947,0.29742,0.29945,0.18211,0.4204,0.28683,0.27787,0.14955,1.72714,2.7139,1.79186,0.00579,0,0.001078,0.001078,0.001078
11,232.442,1.92757,2.99438,1.8825,0.00534,1.24577,0.45873,0.30437,0.30224,0.19025,0.46194,0.27746,0.26516,0.14722,1.67791,2.75705,1.78117,0.00542,0,0.00107434,0.00107434,0.00107434
12,252.996,1.90689,2.9724,1.82002,0.00517,1.21978,0.47942,0.31229,0.31197,0.19363,0.4417,0.30911,0.28672,0.15106,1.67881,2.63384,1.72746,0.00552,0,0.00107067,0.00107067,0.00107067
