epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,1517,1.59265,0.43689,0.00523,0.81403,0.42161,0.46936,0.30188,1.41463,0.21932,0.0032,0.00328638,0.00328638,0.0704225
2,1624.4,1.54838,0.21525,0.00511,0.53948,0.48689,0.50419,0.30827,1.49423,0.1444,0.00339,0.006619,0.006619,0.0404218
3,1729.38,1.57472,0.17349,0.0049,0.57944,0.47932,0.51695,0.31707,1.51712,0.12766,0.0035,0.00994873,0.00994873,0.0104182
4,1741.85,1.57742,0.16029,0.00513,0.7006,0.42618,0.53124,0.32732,1.53322,0.12545,0.00335,0.00999023,0.00999023,0.00999023
5,1792.72,1.62395,0.14733,0.00499,0.76587,0.49129,0.5613,0.31658,1.66901,0.12778,0.00416,0.00998264,0.00998264,0.00998264
6,1843.66,1.54788,0.14137,0.00495,0.68521,0.51494,0.57638,0.3424,1.62095,0.11796,0.00393,0.00997288,0.00997288,0.00997288
7,1958.68,1.53229,0.13425,0.00469,0.73235,0.55551,0.59187,0.36644,1.56213,0.11264,0.00362,0.00996097,0.00996097,0.00996097
8,1974.51,1.49967,0.13008,0.00481,0.83653,0.49118,0.60097,0.38588,1.54589,0.10975,0.00367,0.0099469,0.0099469,0.0099469
9,1987.52,1.54886,0.13325,0.00498,0.80254,0.53154,0.59112,0.34919,1.59869,0.11279,0.00403,0.00993068,0.00993068,0.00993068
10,2013.97,1.48116,0.1295,0.00476,0.79541,0.50081,0.58009,0.36595,1.58788,0.11308,0.00368,0.00991232,0.00991232,0.00991232
11,2107.3,1.53579,0.12756,0.00471,0.81608,0.50563,0.61251,0.38423,1.55667,0.10954,0.00385,0.00989183,0.00989183,0.00989183
12,2123.35,1.50551,0.1237,0.0045,0.70511,0.54618,0.611,0.37649,1.57303,0.10977,0.0036,0.00986922,0.00986922,0.00986922
13,2228.52,1.47951,0.12185,0.00451,0.79278,0.53645,0.5902,0.36474,1.59492,0.10863,0.00365,0.00984449,0.00984449,0.00984449
14,2289.67,1.47617,0.11988,0.00448,0.70668,0.53206,0.5906,0.36225,1.56882,0.11049,0.00381,0.00981765,0.00981765,0.00981765
15,2333.2,1.47706,0.11998,0.00468,0.70578,0.59574,0.64093,0.41319,1.58877,0.10971,0.00386,0.00978873,0.00978873,0.00978873
16,2346.1,1.49045,0.12029,0.00447,0.78678,0.57117,0.63434,0.37533,1.64831,0.11099,0.00416,0.00975773,0.00975773,0.00975773
17,2361.67,1.53724,0.12058,0.00451,0.79317,0.57945,0.62164,0.39491,1.511,0.11007,0.00349,0.00972466,0.00972466,0.00972466
18,2435.91,1.52812,0.12067,0.00464,0.74712,0.59455,0.62377,0.39115,1.56811,0.11304,0.00376,0.00968955,0.00968955,0.00968955
19,2448.38,1.45096,0.11604,0.00448,0.75961,0.56734,0.62298,0.39382,1.60074,0.10912,0.00382,0.00965239,0.00965239,0.00965239
20,2460.43,1.49617,0.11549,0.00446,0.79674,0.57044,0.63691,0.40558,1.58559,0.10712,0.00362,0.00961322,0.00961322,0.00961322
21,2475.58,1.44659,0.1115,0.00441,0.84389,0.58498,0.65621,0.42115,1.55051,0.1085,0.00359,0.00957205,0.00957205,0.00957205
22,2488.32,1.47855,0.11465,0.00431,0.8385,0.57533,0.67312,0.44436,1.53386,0.10507,0.00362,0.00952889,0.00952889,0.00952889
23,2504.93,1.44642,0.11202,0.00427,0.86232,0.57016,0.64736,0.42338,1.56379,0.10423,0.00376,0.00948377,0.00948377,0.00948377
24,2550.36,1.4701,0.11072,0.00422,0.82824,0.59057,0.67665,0.42811,1.59728,0.10383,0.00389,0.00943671,0.00943671,0.00943671
25,2632.55,1.47143,0.1111,0.00453,0.87412,0.56892,0.65596,0.42277,1.57258,0.10392,0.00379,0.00938772,0.00938772,0.00938772
26,2647.81,1.48978,0.11286,0.00423,0.85326,0.57722,0.66657,0.4218,1.58228,0.10582,0.00383,0.00933683,0.00933683,0.00933683
27,2715.58,1.44828,0.11248,0.00436,0.92613,0.53187,0.66861,0.45502,1.52249,0.10506,0.00352,0.00928405,0.00928405,0.00928405
28,2799.38,1.4635,0.11105,0.00427,0.83025,0.56994,0.66071,0.43666,1.58487,0.1022,0.00371,0.00922942,0.00922942,0.00922942
29,2812.26,1.4356,0.10766,0.00428,0.87024,0.55854,0.67671,0.45596,1.54127,0.09897,0.00357,0.00917296,0.00917296,0.00917296
30,2827.64,1.48327,0.10718,0.00418,0.82832,0.577,0.68393,0.44505,1.56853,0.09985,0.00373,0.00911469,0.00911469,0.00911469
31,2892.7,1.44068,0.10787,0.00417,0.81085,0.61881,0.68316,0.46548,1.53006,0.09885,0.00354,0.00905463,0.00905463,0.00905463
32,2905.79,1.38396,0.10377,0.00406,0.87438,0.592,0.68836,0.45296,1.56238,0.10344,0.00358,0.00899282,0.00899282,0.00899282
33,2980.2,1.49151,0.10489,0.00408,0.80746,0.57731,0.65672,0.42955,1.56499,0.10421,0.00361,0.00892928,0.00892928,0.00892928
34,2992.1,1.40272,0.10129,0.00415,0.75585,0.6025,0.67561,0.43852,1.55419,0.10544,0.00385,0.00886404,0.00886404,0.00886404
35,3007.56,1.44191,0.10205,0.00416,0.7275,0.59692,0.66993,0.42497,1.5756,0.10567,0.00396,0.00879713,0.00879713,0.00879713
36,3019.05,1.43281,0.10351,0.00424,0.86121,0.55123,0.67313,0.46385,1.5041,0.10485,0.00361,0.00872857,0.00872857,0.00872857
37,3034.28,1.42204,0.10402,0.00407,0.81905,0.60699,0.6844,0.46223,1.51207,0.10319,0.0035,0.00865839,0.00865839,0.00865839
38,3046.5,1.41684,0.10091,0.00388,0.74891,0.6215,0.6728,0.43047,1.59605,0.10662,0.00394,0.00858664,0.00858664,0.00858664
39,3058.51,1.42088,0.10132,0.00414,0.72763,0.63747,0.67258,0.42052,1.54337,0.09909,0.00354,0.00851333,0.00851333,0.00851333
40,3073.48,1.42208,0.09975,0.00423,0.85941,0.57148,0.66287,0.43838,1.51476,0.09972,0.00348,0.00843851,0.00843851,0.00843851
41,3085.44,1.42769,0.10059,0.00397,0.80347,0.56619,0.67486,0.4511,1.53255,0.10137,0.00356,0.0083622,0.0083622,0.0083622
42,3098.23,1.38309,0.1004,0.00394,0.86508,0.57963,0.70119,0.44612,1.56494,0.1042,0.00372,0.00828443,0.00828443,0.00828443
43,3113.87,1.4436,0.10009,0.00391,0.90437,0.57948,0.69126,0.44661,1.59613,0.10294,0.00393,0.00820525,0.00820525,0.00820525
44,3125.93,1.38116,0.09414,0.00397,0.80095,0.61027,0.68537,0.46779,1.53025,0.09842,0.00366,0.00812468,0.00812468,0.00812468
45,3142.13,1.35178,0.09496,0.00397,0.81713,0.606,0.68584,0.47228,1.51482,0.10022,0.00352,0.00804277,0.00804277,0.00804277
46,3154.64,1.41044,0.1003,0.00414,0.81344,0.60034,0.67958,0.46067,1.48639,0.09868,0.00356,0.00795954,0.00795954,0.00795954
47,3215.3,1.44844,0.09719,0.00406,0.89149,0.56948,0.69907,0.47296,1.5228,0.10143,0.00371,0.00787503,0.00787503,0.00787503
48,3227.62,1.4199,0.09641,0.00379,0.83038,0.58901,0.68531,0.46086,1.52412,0.09696,0.00357,0.00778929,0.00778929,0.00778929
49,3239.33,1.40177,0.09813,0.00393,0.88004,0.56845,0.68231,0.46783,1.45206,0.09619,0.00338,0.00770234,0.00770234,0.00770234
50,3253.84,1.40391,0.09388,0.0039,0.79514,0.60743,0.6924,0.47609,1.50513,0.10071,0.00341,0.00761423,0.00761423,0.00761423
51,3264.83,1.42128,0.09371,0.00389,0.87555,0.5927,0.70034,0.46328,1.50274,0.09633,0.00346,0.007525,0.007525,0.007525
52,3276.16,1.41746,0.0956,0.00403,0.86704,0.55009,0.67641,0.46056,1.49616,0.09803,0.00345,0.00743468,0.00743468,0.00743468
53,3291.77,1.39319,0.09493,0.0038,0.81753,0.57354,0.68031,0.44879,1.55262,0.10018,0.0036,0.00734332,0.00734332,0.00734332
54,3303.55,1.37997,0.09133,0.0038,0.84132,0.56391,0.68135,0.46844,1.47911,0.09678,0.00342,0.00725094,0.00725094,0.00725094
55,3317.59,1.43263,0.09526,0.00398,0.73152,0.64613,0.68696,0.43774,1.63077,0.09855,0.00415,0.00715761,0.00715761,0.00715761
56,3329.6,1.37546,0.09034,0.00379,0.79822,0.61483,0.69142,0.45485,1.61951,0.10186,0.00382,0.00706335,0.00706335,0.00706335
57,3341.6,1.37553,0.09289,0.00389,0.84915,0.59964,0.688,0.45003,1.59602,0.09607,0.00366,0.0069682,0.0069682,0.0069682
58,3356.62,1.38569,0.09348,0.00384,0.78486,0.61387,0.69318,0.47557,1.52728,0.09269,0.00343,0.00687222,0.00687222,0.00687222
59,3369.11,1.36993,0.09236,0.00382,0.84848,0.61684,0.7156,0.49015,1.48724,0.09746,0.00333,0.00677543,0.00677543,0.00677543
60,3465.03,1.34052,0.08923,0.0036,0.86831,0.58985,0.69361,0.4743,1.50993,0.09703,0.00341,0.00667789,0.00667789,0.00667789
61,3476.31,1.33414,0.08707,0.00385,0.87139,0.60413,0.7022,0.47954,1.53832,0.09356,0.00363,0.00657963,0.00657963,0.00657963
62,3488.03,1.39871,0.09266,0.00398,0.91579,0.57433,0.70721,0.47749,1.53301,0.09988,0.00369,0.00648071,0.00648071,0.00648071
63,3502.57,1.35022,0.08759,0.00378,0.88347,0.61404,0.72384,0.48278,1.51009,0.09573,0.00356,0.00638115,0.00638115,0.00638115
64,3515.19,1.2961,0.08437,0.00357,0.86791,0.60736,0.70818,0.48758,1.47589,0.09379,0.0033,0.00628101,0.00628101,0.00628101
65,3530.8,1.32868,0.08902,0.00366,0.83023,0.62027,0.70719,0.48824,1.4562,0.09521,0.00335,0.00618034,0.00618034,0.00618034
66,3542.95,1.32798,0.08511,0.00356,0.81758,0.6183,0.68795,0.4549,1.53579,0.09852,0.00356,0.00607916,0.00607916,0.00607916
67,3554.92,1.35987,0.08755,0.00364,0.87351,0.59536,0.70451,0.48521,1.47718,0.09459,0.0033,0.00597754,0.00597754,0.00597754
