epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,585.12,1.39029,0.11523,0.00462,0.67741,0.45965,0.53261,0.29046,1.88174,0.19,0.00539,0.000989474,0.000989474,0.00109474
2,620.732,1.58582,0.16014,0.00548,0.58962,0.43935,0.45117,0.26286,1.79631,0.1692,0.00534,0.000999023,0.000999023,0.000999023
3,657.555,1.64461,0.17394,0.0062,0.70531,0.35168,0.37668,0.21282,1.78532,0.18566,0.00521,0.000996097,0.000996097,0.000996097
4,689.324,1.66994,0.17687,0.00639,0.47451,0.42769,0.4612,0.24336,1.84065,0.18233,0.00561,0.000991232,0.000991232,0.000991232
5,724.346,1.65587,0.1744,0.00603,0.72194,0.45027,0.49948,0.27091,1.83537,0.17753,0.00556,0.000984449,0.000984449,0.000984449
6,759.261,1.62489,0.1759,0.00586,0.63004,0.45692,0.47068,0.25649,1.93042,0.18795,0.00613,0.000975773,0.000975773,0.000975773
7,794.297,1.57587,0.17241,0.00588,0.64415,0.4999,0.51803,0.29408,1.74625,0.15269,0.00498,0.000965239,0.000965239,0.000965239
8,830.313,1.61599,0.17199,0.00588,0.68368,0.50071,0.51295,0.28344,1.76085,0.15409,0.00492,0.000952889,0.000952889,0.000952889
9,865.475,1.61836,0.15863,0.00535,0.64963,0.46369,0.50465,0.28102,1.8171,0.15901,0.00514,0.000938772,0.000938772,0.000938772
10,900.728,1.55507,0.16574,0.00579,0.66646,0.44649,0.50245,0.28177,1.83941,0.14855,0.00543,0.000922942,0.000922942,0.000922942
11,935.742,1.52941,0.15785,0.00575,0.60529,0.49659,0.51044,0.29701,1.72385,0.13807,0.00499,0.000905463,0.000905463,0.000905463
12,971.551,1.52736,0.15233,0.00549,0.62677,0.5092,0.52566,0.31399,1.75092,0.1387,0.00474,0.000886404,0.000886404,0.000886404
13,1007.26,1.51754,0.14503,0.00524,0.76517,0.50231,0.55975,0.33445,1.66512,0.13669,0.00472,0.000865839,0.000865839,0.000865839
14,1042.98,1.51024,0.14825,0.00532,0.74777,0.51807,0.57031,0.35481,1.64952,0.13088,0.00456,0.000843851,0.000843851,0.000843851
15,1078.72,1.49655,0.14442,0.00541,0.80179,0.45849,0.54297,0.34803,1.62177,0.12936,0.00433,0.000820525,0.000820525,0.000820525
16,1113.67,1.473,0.13643,0.00507,0.79154,0.51819,0.58499,0.36626,1.67784,0.12616,0.00483,0.000795954,0.000795954,0.000795954
17,1149.24,1.44368,0.13457,0.00495,0.78479,0.5303,0.56987,0.35958,1.65698,0.13085,0.00459,0.000770234,0.000770234,0.000770234
18,1184.16,1.45845,0.13716,0.00515,0.77054,0.5101,0.58152,0.35756,1.61691,0.1261,0.00439,0.000743468,0.000743468,0.000743468
19,1219.14,1.44089,0.13299,0.0049,0.77385,0.54855,0.5991,0.3912,1.58565,0.12093,0.00415,0.000715761,0.000715761,0.000715761
20,1254.81,1.42031,0.13249,0.00495,0.8029,0.53072,0.58684,0.35598,1.6715,0.1319,0.00446,0.000687222,0.000687222,0.000687222
21,1289.98,1.40135,0.12672,0.0046,0.75521,0.55667,0.61767,0.39138,1.5768,0.11837,0.00428,0.000657963,0.000657963,0.000657963
22,1325.57,1.41171,0.12647,0.00475,0.7076,0.55186,0.5896,0.39362,1.51975,0.1186,0.00403,0.000628101,0.000628101,0.000628101
23,1361.34,1.37568,0.11947,0.00451,0.77859,0.56607,0.62622,0.41109,1.56373,0.11183,0.00428,0.000597754,0.000597754,0.000597754
24,1397.2,1.37033,0.11556,0.00454,0.75614,0.56736,0.60477,0.40916,1.55085,0.11535,0.00401,0.00056704,0.00056704,0.00056704
25,1432.25,1.35375,0.1162,0.00452,0.77717,0.5713,0.62759,0.41516,1.53658,0.11059,0.00401,0.000536081,0.000536081,0.000536081
26,1468.04,1.32793,0.11369,0.0044,0.7923,0.56212,0.62124,0.42409,1.48185,0.11165,0.00378,0.000505,0.000505,0.000505
27,1504.1,1.30989,0.11367,0.00429,0.84894,0.54857,0.63575,0.43149,1.49924,0.11501,0.00383,0.000473919,0.000473919,0.000473919
28,1539.75,1.29237,0.11006,0.00433,0.79834,0.54477,0.64661,0.44522,1.46319,0.11146,0.00377,0.00044296,0.00044296,0.00044296
29,1575.18,1.28023,0.104,0.0041,0.81437,0.55089,0.63255,0.43032,1.47799,0.11037,0.00387,0.000412246,0.000412246,0.000412246
30,1610.24,1.25084,0.10349,0.00409,0.82128,0.57912,0.65268,0.43955,1.53336,0.10561,0.00388,0.000381899,0.000381899,0.000381899
31,1645.26,1.27078,0.10359,0.00393,0.8223,0.59068,0.6663,0.44502,1.45824,0.10615,0.00365,0.000352037,0.000352037,0.000352037
32,1680.34,1.28086,0.10182,0.00378,0.85995,0.5399,0.65934,0.44149,1.4862,0.10617,0.00377,0.000322778,0.000322778,0.000322778
33,1715.48,1.26467,0.10192,0.00398,0.85523,0.55034,0.65193,0.42882,1.51765,0.09862,0.00393,0.000294239,0.000294239,0.000294239
34,1750.34,1.26925,0.1007,0.00408,0.71673,0.66135,0.68625,0.46463,1.44292,0.1002,0.0035,0.000266532,0.000266532,0.000266532
35,1786.13,1.23941,0.09691,0.00384,0.84823,0.56735,0.67827,0.47296,1.40831,0.10195,0.00337,0.000239766,0.000239766,0.000239766
36,1821.95,1.19508,0.09427,0.00367,0.7608,0.5909,0.66947,0.47106,1.42303,0.10156,0.00347,0.000214046,0.000214046,0.000214046
37,1856.86,1.19661,0.09269,0.00362,0.87616,0.57105,0.69885,0.47947,1.39154,0.10302,0.00331,0.000189475,0.000189475,0.000189475
38,1892.56,1.23345,0.09376,0.00367,0.80546,0.5952,0.69053,0.46964,1.42094,0.10171,0.00343,0.000166149,0.000166149,0.000166149
39,1927.48,1.16282,0.08944,0.00359,0.84248,0.57839,0.70481,0.48045,1.38947,0.10019,0.00325,0.000144161,0.000144161,0.000144161
40,1963.07,1.1859,0.0923,0.00369,0.84672,0.57373,0.70264,0.48838,1.37648,0.09992,0.00316,0.000123596,0.000123596,0.000123596
41,1999.36,1.08809,0.07475,0.00336,0.86292,0.5819,0.70609,0.48129,1.40162,0.09872,0.00331,0.000104537,0.000104537,0.000104537
42,2034.58,1.04476,0.0688,0.00317,0.90501,0.56208,0.70456,0.47799,1.40061,0.10313,0.00333,8.70577e-05,8.70577e-05,8.70577e-05
43,2069.47,1.04457,0.06837,0.00303,0.80178,0.60562,0.69579,0.47978,1.36919,0.09855,0.00319,7.12282e-05,7.12282e-05,7.12282e-05
44,2104.57,1.05402,0.06917,0.00306,0.82961,0.59437,0.69909,0.48333,1.38121,0.09901,0.00328,5.71106e-05,5.71106e-05,5.71106e-05
45,2139.54,1.05092,0.06998,0.00313,0.84045,0.59159,0.70735,0.48669,1.37559,0.09989,0.00325,4.47606e-05,4.47606e-05,4.47606e-05
46,2174.57,1.04663,0.06756,0.00306,0.84298,0.58534,0.70319,0.48726,1.37224,0.09729,0.00323,3.4227e-05,3.4227e-05,3.4227e-05
47,2209.49,1.02717,0.06675,0.00303,0.8262,0.59535,0.70365,0.48766,1.37197,0.09832,0.00322,2.55513e-05,2.55513e-05,2.55513e-05
