epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,442.656,1.27565,2.0299,0.13269,0.00305,0.73969,0.77649,0.46793,0.52705,0.33437,0.73849,0.39526,0.43379,0.21333,1.54928,2.84453,0.17252,0.00361,0,0.000989474,0.000989474,0.00109474
2,497.314,1.49244,2.44003,0.17363,0.00391,1.15012,0.63048,0.41456,0.44031,0.27309,0.61697,0.36407,0.36446,0.19631,1.67768,2.78376,0.19044,0.00455,0,0.000999023,0.000999023,0.000999023
3,547.254,1.53456,2.47075,0.1831,0.00428,1.18641,0.7362,0.39707,0.45918,0.2874,0.70429,0.36082,0.40408,0.21212,1.68831,2.68933,0.19331,0.00435,0,0.000996097,0.000996097,0.000996097
4,600.529,1.56231,2.55618,0.18267,0.00452,1.20117,0.60556,0.37881,0.40309,0.25139,0.58888,0.33113,0.35183,0.19344,1.7296,2.76442,0.16974,0.00446,0,0.000991232,0.000991232,0.000991232
5,650.701,1.58604,2.58607,0.17948,0.00436,1.15038,0.69812,0.42935,0.45746,0.28806,0.58487,0.38419,0.40338,0.20523,1.69123,2.62637,0.19995,0.00426,0,0.000984449,0.000984449,0.000984449
6,700.665,1.55403,2.47221,0.17819,0.00424,1.08101,0.66513,0.41865,0.44256,0.2727,0.61334,0.39664,0.38506,0.19574,1.68837,2.90194,0.17127,0.00429,0,0.000975773,0.000975773,0.000975773
7,753.922,1.49783,2.40276,0.17437,0.00417,1.00387,0.63093,0.39382,0.45751,0.28188,0.57537,0.35016,0.39134,0.20556,1.67198,2.63255,0.16539,0.00418,0,0.000965239,0.000965239,0.000965239
8,803.734,1.54378,2.42237,0.17523,0.00423,1.02508,0.71574,0.46179,0.49718,0.30979,0.66313,0.41791,0.41955,0.21806,1.63969,2.71757,0.18624,0.0042,0,0.000952889,0.000952889,0.000952889
9,857.678,1.55493,2.47398,0.16978,0.00402,1.10811,0.74094,0.40696,0.47206,0.30202,0.71922,0.36025,0.40264,0.21314,1.64714,2.76768,0.16873,0.00426,0,0.000938772,0.000938772,0.000938772
10,907.542,1.51003,2.40195,0.17327,0.00428,0.96419,0.67019,0.49125,0.49443,0.31118,0.66415,0.45073,0.44942,0.24055,1.6362,2.56333,0.15673,0.00415,0,0.000922942,0.000922942,0.000922942
11,962.195,1.47161,2.3401,0.16615,0.00418,0.98727,0.72782,0.49102,0.5478,0.35412,0.6902,0.45026,0.49524,0.2474,1.64889,2.66198,0.15085,0.00406,0,0.000905463,0.000905463,0.000905463
12,1012.66,1.49652,2.32065,0.16149,0.00404,0.93161,0.75809,0.43867,0.50455,0.3194,0.73453,0.41562,0.45582,0.22957,1.64226,2.45645,0.15463,0.00404,0,0.000886404,0.000886404,0.000886404
13,1066.39,1.47145,2.26526,0.15538,0.00384,0.88562,0.72958,0.46601,0.52037,0.32961,0.78498,0.39125,0.45208,0.23912,1.61329,2.55339,0.15423,0.00401,0,0.000865839,0.000865839,0.000865839
14,1115.89,1.46694,2.29259,0.15726,0.00395,0.90661,0.68417,0.47031,0.51108,0.3275,0.68381,0.43915,0.48227,0.25502,1.62032,2.44667,0.14883,0.00408,0,0.000843851,0.000843851,0.000843851
15,1165.37,1.46759,2.2719,0.15709,0.00394,0.91828,0.73561,0.47017,0.52525,0.3267,0.68344,0.43686,0.45119,0.23606,1.64214,2.49833,0.15069,0.00413,0,0.000820525,0.000820525,0.000820525
