epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,630.302,1.76961,0.48954,0.00578,0.32276,0.26815,0.26171,0.16316,1.68787,0.37267,0.00384,0.00305556,0.00305556,0.0725
1,432.577,1.76961,0.48954,0.00578,0.2911,0.06924,0.0653,0.03768,1.68965,0.37215,0.00385,0.00305556,0.00305556,0.0725
2,515.087,1.66564,0.35213,0.00525,0.52986,0.36055,0.39572,0.23708,1.62668,0.28112,0.00348,0.0063882,0.0063882,0.0424993
2,719.661,1.66564,0.35213,0.00525,0.47978,0.23325,0.24217,0.13966,1.62384,0.28299,0.00347,0.0063882,0.0063882,0.0424993
3,587.009,1.64522,0.22793,0.00493,0.78973,0.4589,0.50666,0.29716,1.54806,0.20022,0.00299,0.009718,0.009718,0.0124958
3,826.404,1.64522,0.22793,0.00493,0.68974,0.1489,0.15029,0.09035,1.54679,0.20069,0.00299,0.009718,0.009718,0.0124958
4,673.475,1.62852,0.19363,0.00504,0.59659,0.4286,0.45259,0.24543,1.65921,0.16015,0.00346,0.00999023,0.00999023,0.00999023
4,908.505,1.62852,0.19363,0.00504,0.59017,0.44561,0.48894,0.26234,1.6616,0.1595,0.00347,0.00999023,0.00999023,0.00999023
5,747.602,1.6234,0.1698,0.00478,0.50354,0.50829,0.50231,0.27121,1.70589,0.15477,0.00358,0.00998264,0.00998264,0.00998264
5,984.562,1.6234,0.1698,0.00478,0.50766,0.50802,0.50247,0.27153,1.70661,0.15465,0.00358,0.00998264,0.00998264,0.00998264
6,840.588,1.63428,0.16403,0.00474,0.53631,0.35264,0.35974,0.19847,1.70078,0.14725,0.00356,0.00997288,0.00997288,0.00997288
6,1075.56,1.63428,0.16403,0.00474,0.49195,0.46696,0.48507,0.26783,1.70005,0.14725,0.00355,0.00997288,0.00997288,0.00997288
7,902.614,1.60683,0.15262,0.00471,0.55458,0.51674,0.49342,0.24914,1.69441,0.14168,0.00364,0.00996097,0.00996097,0.00996097
