epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,491.958,1.48766,0.12224,0.00491,0.73018,0.49258,0.53762,0.2968,1.90617,0.14515,0.00556,0.000989474,0.000989474,0.00109474
2,506.302,1.63325,0.15858,0.00568,0.77781,0.39604,0.49693,0.27625,1.80145,0.14915,0.00516,0.000999023,0.000999023,0.000999023
3,517.591,1.63541,0.17257,0.00607,0.51356,0.47395,0.47526,0.26475,1.76597,0.16542,0.00519,0.000996097,0.000996097,0.000996097
4,529.204,1.63611,0.17252,0.00619,0.657,0.44085,0.48592,0.25165,1.89037,0.16284,0.0056,0.000991232,0.000991232,0.000991232
5,543.341,1.65667,0.17011,0.00585,0.68805,0.46033,0.49995,0.28021,1.73976,0.14668,0.00492,0.000984449,0.000984449,0.000984449
6,554.381,1.61449,0.16621,0.00566,0.67738,0.42051,0.48978,0.27464,1.78707,0.13988,0.00498,0.000975773,0.000975773,0.000975773
7,565.424,1.56903,0.16011,0.0057,0.68552,0.43769,0.48817,0.2832,1.73072,0.14487,0.00482,0.000965239,0.000965239,0.000965239
8,579.616,1.60158,0.16523,0.00569,0.62942,0.45078,0.49478,0.29455,1.68262,0.14146,0.00453,0.000952889,0.000952889,0.000952889
9,590.895,1.61609,0.16097,0.00536,0.68928,0.49523,0.52405,0.29741,1.72572,0.14133,0.00491,0.000938772,0.000938772,0.000938772
10,602.406,1.56115,0.16325,0.00579,0.6132,0.45008,0.51692,0.30078,1.75383,0.13769,0.00517,0.000922942,0.000922942,0.000922942
11,616.94,1.51908,0.15664,0.00568,0.72772,0.46783,0.53125,0.30866,1.74425,0.14081,0.00489,0.000905463,0.000905463,0.000905463
12,628.277,1.55444,0.15525,0.00557,0.65734,0.52122,0.54872,0.32158,1.67106,0.13526,0.00452,0.000886404,0.000886404,0.000886404
13,642.723,1.54239,0.14524,0.00527,0.65653,0.51816,0.5381,0.30628,1.75781,0.13175,0.00488,0.000865839,0.000865839,0.000865839
14,653.937,1.50867,0.1486,0.00514,0.77312,0.5199,0.57383,0.34308,1.67332,0.13376,0.00468,0.000843851,0.000843851,0.000843851
15,665.27,1.49203,0.14362,0.00528,0.63336,0.53143,0.53627,0.33342,1.55915,0.12649,0.00414,0.000820525,0.000820525,0.000820525
16,679.34,1.48572,0.13529,0.00502,0.69779,0.52802,0.54774,0.34166,1.59354,0.13014,0.00427,0.000795954,0.000795954,0.000795954
17,690.646,1.46069,0.13788,0.00497,0.7387,0.50812,0.54368,0.33595,1.6254,0.13033,0.00447,0.000770234,0.000770234,0.000770234
18,702.072,1.47295,0.13769,0.00511,0.71916,0.54695,0.56896,0.36262,1.5735,0.12538,0.00399,0.000743468,0.000743468,0.000743468
19,716.587,1.46079,0.13604,0.00487,0.73859,0.53071,0.56797,0.35461,1.59557,0.12737,0.0039,0.000715761,0.000715761,0.000715761
20,727.802,1.42815,0.13342,0.00489,0.73931,0.55557,0.59433,0.38222,1.59041,0.12374,0.00418,0.000687222,0.000687222,0.000687222
21,739.294,1.42757,0.12935,0.00462,0.74622,0.55406,0.5796,0.38057,1.57197,0.11943,0.00388,0.000657963,0.000657963,0.000657963
22,753.377,1.44014,0.12916,0.00476,0.80061,0.52214,0.57894,0.37597,1.55361,0.12201,0.00378,0.000628101,0.000628101,0.000628101
23,765.136,1.41109,0.12613,0.00462,0.81124,0.53359,0.58745,0.38473,1.5567,0.12334,0.00395,0.000597754,0.000597754,0.000597754
24,776.586,1.39901,0.11989,0.00455,0.75943,0.52061,0.5933,0.39899,1.51218,0.11491,0.00377,0.00056704,0.00056704,0.00056704
25,790.901,1.3962,0.12158,0.00459,0.81353,0.52037,0.60059,0.4017,1.5137,0.12382,0.0037,0.000536081,0.000536081,0.000536081
26,802.464,1.37969,0.12088,0.0045,0.79822,0.5305,0.59476,0.39927,1.50924,0.11674,0.00362,0.000505,0.000505,0.000505
27,813.654,1.37661,0.11886,0.00441,0.80969,0.54017,0.60476,0.3991,1.49289,0.11967,0.00367,0.000473919,0.000473919,0.000473919
28,827.846,1.35094,0.11612,0.00448,0.79875,0.54178,0.63559,0.418,1.52209,0.11405,0.0037,0.00044296,0.00044296,0.00044296
29,839.36,1.32944,0.11075,0.00414,0.80228,0.55683,0.62933,0.43009,1.47173,0.11193,0.00341,0.000412246,0.000412246,0.000412246
30,853.546,1.3044,0.11339,0.00418,0.84346,0.45351,0.52319,0.36592,1.52745,0.10997,0.0037,0.000381899,0.000381899,0.000381899
31,864.849,1.33676,0.11298,0.00408,0.85007,0.52733,0.63052,0.43931,1.43932,0.10804,0.0033,0.000352037,0.000352037,0.000352037
32,876.473,1.35046,0.11012,0.00397,0.84854,0.52146,0.62728,0.43685,1.45977,0.10687,0.00335,0.000322778,0.000322778,0.000322778
33,890.587,1.33135,0.11045,0.00412,0.86212,0.53648,0.63607,0.43434,1.5034,0.1081,0.00366,0.000294239,0.000294239,0.000294239
34,901.698,1.32212,0.11073,0.0042,0.83127,0.55066,0.63129,0.43594,1.44468,0.10536,0.00339,0.000266532,0.000266532,0.000266532
35,912.83,1.30142,0.1071,0.00394,0.84493,0.54933,0.63518,0.44279,1.46034,0.10784,0.00337,0.000239766,0.000239766,0.000239766
36,927.108,1.2623,0.10391,0.00387,0.85645,0.53252,0.63905,0.44854,1.43277,0.10615,0.00321,0.000214046,0.000214046,0.000214046
37,938.682,1.26426,0.10193,0.00379,0.83384,0.56674,0.63587,0.44346,1.43044,0.10756,0.00324,0.000189475,0.000189475,0.000189475
38,949.803,1.30337,0.1028,0.00386,0.85496,0.53654,0.62847,0.44189,1.45155,0.10847,0.00337,0.000166149,0.000166149,0.000166149
39,963.718,1.23702,0.09822,0.00376,0.74582,0.61105,0.6331,0.43854,1.42841,0.10632,0.00324,0.000144161,0.000144161,0.000144161
40,974.8,1.25902,0.10252,0.00385,0.76032,0.59818,0.63416,0.44786,1.39929,0.1079,0.00312,0.000123596,0.000123596,0.000123596
41,987.35,1.14979,0.08389,0.00347,0.83748,0.55266,0.64564,0.4563,1.41852,0.10587,0.00322,0.000104537,0.000104537,0.000104537
42,1002.14,1.1013,0.07623,0.00324,0.82338,0.55662,0.64518,0.45965,1.41174,0.10599,0.00323,8.70577e-05,8.70577e-05,8.70577e-05
43,1013.61,1.11427,0.07866,0.00316,0.83146,0.54171,0.64598,0.46076,1.38905,0.10596,0.00305,7.12282e-05,7.12282e-05,7.12282e-05
44,1025.14,1.13464,0.07944,0.00322,0.84278,0.53743,0.6315,0.4477,1.41124,0.1075,0.00315,5.71106e-05,5.71106e-05,5.71106e-05
45,1039.19,1.11879,0.07781,0.00324,0.85728,0.53207,0.63916,0.45723,1.40232,0.10747,0.00316,4.47606e-05,4.47606e-05,4.47606e-05
46,1050.41,1.11772,0.0762,0.00317,0.83141,0.54386,0.64688,0.46412,1.40661,0.10606,0.00316,3.4227e-05,3.4227e-05,3.4227e-05
47,1065.25,1.1115,0.07724,0.00317,0.8545,0.53695,0.64583,0.45963,1.40476,0.10511,0.00316,2.55513e-05,2.55513e-05,2.55513e-05
48,1076.44,1.13812,0.0801,0.00322,0.84118,0.5439,0.64749,0.46225,1.40361,0.10606,0.00315,1.87678e-05,1.87678e-05,1.87678e-05
49,1087.63,1.13195,0.07866,0.00322,0.82886,0.54959,0.64871,0.46344,1.39598,0.1061,0.00312,1.39032e-05,1.39032e-05,1.39032e-05
50,1101.73,1.12952,0.07641,0.00317,0.83633,0.54647,0.64763,0.46347,1.40465,0.10402,0.00316,1.09768e-05,1.09768e-05,1.09768e-05
