epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,101.071,1.67321,3.30161,0.49533,0.00436,3.13297,0.50973,0.31694,0.34392,0.21582,0.48508,0.30136,0.31615,0.16578,1.63098,2.75366,0.27244,0.00358,0,0.00328638,0.00328638,0.0704225
2,116.588,1.59452,2.77024,0.27507,0.0039,1.51848,0.56551,0.41482,0.40866,0.24761,0.60724,0.3407,0.36077,0.18281,1.5708,2.62649,0.20128,0.00337,0,0.006619,0.006619,0.0404218
3,135.628,1.61393,2.70849,0.22106,0.00378,1.27347,0.60953,0.42161,0.41322,0.24574,0.58839,0.37921,0.38092,0.20932,1.64331,2.63733,0.18932,0.00362,0,0.00994873,0.00994873,0.0104182
4,151.378,1.59291,2.65119,0.20728,0.00386,1.19479,0.60935,0.41739,0.42636,0.27008,0.5959,0.40037,0.40678,0.22112,1.63156,2.58955,0.18369,0.00349,0,0.00999023,0.00999023,0.00999023
5,169.948,1.62077,2.66058,0.19291,0.00369,1.13797,0.72854,0.39554,0.4543,0.2745,0.71503,0.35987,0.395,0.20926,1.70726,2.71539,0.17651,0.00362,0,0.00998264,0.00998264,0.00998264
6,185.349,1.57673,2.60513,0.18877,0.00369,1.05283,0.58172,0.40872,0.4461,0.28588,0.55436,0.39074,0.42004,0.23069,1.63963,2.59432,0.16953,0.00354,0,0.00997288,0.00997288,0.00997288
7,203.943,1.58622,2.58769,0.17837,0.00372,1.04896,0.68243,0.45958,0.47269,0.29378,0.62736,0.43285,0.43509,0.23913,1.6131,2.55819,0.16279,0.0035,0,0.00996097,0.00996097,0.00996097
8,219.665,1.56558,2.53008,0.18065,0.00382,1.04116,0.71353,0.37763,0.45052,0.26646,0.72427,0.35806,0.43148,0.25314,1.67643,2.5747,0.16439,0.00377,0,0.0099469,0.0099469,0.0099469
9,238.151,1.56607,2.5732,0.18018,0.00377,1.04232,0.64972,0.42418,0.45546,0.28512,0.70882,0.38054,0.42011,0.22454,1.6404,2.55435,0.16335,0.00362,0,0.00993068,0.00993068,0.00993068
10,253.987,1.58037,2.5526,0.17387,0.00388,0.98256,0.69531,0.41249,0.45574,0.29252,0.65461,0.38863,0.42051,0.2351,1.61051,2.61976,0.16567,0.00344,0,0.00991232,0.00991232,0.00991232
