epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,627.063,1.3654,2.16745,0.14196,0.00321,0.77723,0.74518,0.43212,0.5082,0.32762,0.73852,0.41282,0.44654,0.23053,1.66612,2.85415,0.1628,0.00392,0,0.000989474,0.000989474,0.00109474
2,657.816,1.53681,2.45356,0.16882,0.00392,1.06737,0.70983,0.40277,0.47146,0.30103,0.65338,0.36969,0.40321,0.21759,1.67655,2.66489,0.1601,0.00419,0,0.000999023,0.000999023,0.000999023
3,688.97,1.55834,2.49415,0.17804,0.0042,1.14595,0.67623,0.42387,0.454,0.28736,0.62961,0.39325,0.40562,0.217,1.70243,2.70231,0.1719,0.00436,0,0.000996097,0.000996097,0.000996097
4,716.871,1.5625,2.49563,0.17809,0.00432,1.12495,0.64553,0.39402,0.4333,0.2623,0.60373,0.35747,0.37947,0.19799,1.71016,2.69463,0.17469,0.00447,0,0.000991232,0.000991232,0.000991232
5,747.75,1.60599,2.56316,0.18079,0.00428,1.13323,0.67172,0.42838,0.43874,0.26343,0.63013,0.39408,0.38755,0.20968,1.75366,2.66758,0.17081,0.00454,0,0.000984449,0.000984449,0.000984449
6,778.548,1.56444,2.47589,0.17769,0.00411,1.07314,0.78646,0.44444,0.46754,0.28227,0.73381,0.41661,0.42947,0.22168,1.69599,2.65225,0.17161,0.00429,0,0.000975773,0.000975773,0.000975773
7,809.359,1.53084,2.41007,0.16906,0.00413,1.01664,0.6421,0.42417,0.46036,0.2794,0.56407,0.37327,0.39448,0.20042,1.75233,2.6635,0.17425,0.00456,0,0.000965239,0.000965239,0.000965239
8,840.244,1.57949,2.45243,0.17112,0.00422,1.01305,0.7528,0.43937,0.48067,0.30486,0.7318,0.42417,0.45614,0.22024,1.66359,2.61298,0.16455,0.00425,0,0.000952889,0.000952889,0.000952889
9,871.218,1.59985,2.52504,0.17185,0.0041,1.0706,0.74188,0.42023,0.48152,0.2991,0.67728,0.38675,0.42262,0.22804,1.69271,2.54801,0.16785,0.00429,0,0.000938772,0.000938772,0.000938772
10,902.088,1.53882,2.45144,0.17561,0.00423,0.99307,0.75339,0.4105,0.4865,0.29839,0.74934,0.36038,0.42465,0.21593,1.67223,2.61604,0.17369,0.0042,0,0.000922942,0.000922942,0.000922942
11,932.816,1.49283,2.36704,0.16913,0.0041,0.93184,0.66457,0.42519,0.48437,0.28956,0.6273,0.3786,0.40333,0.22154,1.66491,2.5108,0.16683,0.00409,0,0.000905463,0.000905463,0.000905463
12,960.941,1.53254,2.35303,0.16491,0.00412,0.94106,0.76314,0.4511,0.49148,0.30708,0.63183,0.40208,0.41579,0.22362,1.70119,2.5057,0.15876,0.00433,0,0.000886404,0.000886404,0.000886404
13,991.547,1.51967,2.33613,0.16287,0.00391,0.9173,0.76188,0.43735,0.49694,0.31329,0.69892,0.39935,0.43506,0.23519,1.67613,2.68833,0.15973,0.0041,0,0.000865839,0.000865839,0.000865839
14,1022.7,1.51375,2.37387,0.16557,0.00405,0.93437,0.74844,0.45255,0.48966,0.31154,0.68511,0.41105,0.43086,0.22444,1.65381,2.53263,0.16796,0.00398,0,0.000843851,0.000843851,0.000843851
15,1053.5,1.5102,2.35632,0.16301,0.00404,0.88471,0.82905,0.43191,0.51114,0.31907,0.71076,0.40097,0.44181,0.23876,1.65046,2.74526,0.16625,0.0041,0,0.000820525,0.000820525,0.000820525
16,1084.42,1.4723,2.25215,0.15632,0.0037,0.82438,0.78586,0.44158,0.50546,0.33381,0.76283,0.42508,0.459,0.23909,1.60947,2.44972,0.15784,0.00375,0,0.000795954,0.000795954,0.000795954
17,1115.6,1.45644,2.26425,0.15635,0.00369,0.81359,0.79862,0.42718,0.51092,0.33318,0.77754,0.41699,0.46791,0.24652,1.59311,2.4649,0.15905,0.00381,0,0.000770234,0.000770234,0.000770234
18,1146.84,1.46648,2.31075,0.15616,0.00388,0.84336,0.78526,0.4018,0.50143,0.32461,0.74136,0.38323,0.44955,0.24551,1.68349,2.4996,0.16089,0.00446,0,0.000743468,0.000743468,0.000743468
19,1177.71,1.45936,2.24305,0.15396,0.00369,0.79601,0.86459,0.43163,0.51168,0.33014,0.73465,0.38608,0.42804,0.23013,1.63922,2.41032,0.15558,0.00393,0,0.000715761,0.000715761,0.000715761
20,1205.78,1.42453,2.21364,0.15346,0.00362,0.81719,0.80956,0.45806,0.53057,0.34573,0.75265,0.42192,0.47346,0.24861,1.64126,2.38257,0.15753,0.004,0,0.000687222,0.000687222,0.000687222
21,1237.39,1.43427,2.23927,0.15015,0.00341,0.75076,0.76704,0.47268,0.52194,0.34044,0.75062,0.42374,0.47119,0.24678,1.62072,2.34984,0.15275,0.00389,0,0.000657963,0.000657963,0.000657963
22,1268.43,1.42824,2.20939,0.14852,0.00343,0.77817,0.84566,0.45282,0.53119,0.33987,0.7541,0.44296,0.47272,0.26244,1.59507,2.37631,0.14857,0.00382,0,0.000628101,0.000628101,0.000628101
23,1299.55,1.4026,2.21342,0.14827,0.00345,0.7656,0.81602,0.47659,0.52281,0.33606,0.77427,0.43055,0.47035,0.24516,1.60717,2.59309,0.15378,0.00383,0,0.000597754,0.000597754,0.000597754
24,1330.37,1.41667,2.16936,0.14443,0.00338,0.6881,0.90907,0.45148,0.53479,0.35237,0.74107,0.42714,0.47233,0.24508,1.59438,2.42284,0.14765,0.00372,0,0.00056704,0.00056704,0.00056704
25,1361.34,1.40887,2.16556,0.14295,0.00346,0.68864,0.73737,0.47189,0.53374,0.35182,0.74992,0.39706,0.46703,0.25806,1.57341,2.37434,0.14871,0.00364,0,0.000536081,0.000536081,0.000536081
26,1392.51,1.39894,2.19287,0.14416,0.00337,0.68407,0.74431,0.46571,0.54008,0.3562,0.81402,0.40871,0.48594,0.26745,1.5789,2.35939,0.14616,0.00358,0,0.000505,0.000505,0.000505
27,1423.75,1.36741,2.10793,0.13824,0.00322,0.6878,0.70045,0.48549,0.5381,0.3556,0.79114,0.42027,0.48099,0.26715,1.57145,2.47264,0.14627,0.0036,0,0.000473919,0.000473919,0.000473919
28,1451.5,1.35559,2.07321,0.13895,0.00328,0.66,0.78304,0.46729,0.53305,0.35639,0.78456,0.42774,0.47502,0.2489,1.5584,2.48494,0.14992,0.0035,0,0.00044296,0.00044296,0.00044296
29,1482.23,1.35378,2.03539,0.13283,0.00312,0.64359,0.7992,0.47581,0.53521,0.34857,0.79306,0.43822,0.4619,0.25078,1.57342,2.4896,0.14289,0.00351,0,0.000412246,0.000412246,0.000412246
30,1512.93,1.32031,2.05,0.13427,0.00313,0.66299,0.74627,0.48694,0.56147,0.37777,0.76686,0.43878,0.50041,0.28061,1.52734,2.33104,0.14261,0.00338,0,0.000381899,0.000381899,0.000381899
31,1544.58,1.348,2.05035,0.13321,0.00304,0.64542,0.80125,0.47972,0.55436,0.36444,0.81071,0.42156,0.49036,0.26267,1.53496,2.2968,0.14059,0.00336,0,0.000352037,0.000352037,0.000352037
32,1575.56,1.35599,2.05676,0.13254,0.00297,0.63515,0.82444,0.47333,0.54745,0.35948,0.8185,0.42615,0.48507,0.25943,1.53535,2.25942,0.13996,0.00346,0,0.000322778,0.000322778,0.000322778
33,1606.58,1.34244,2.05792,0.13186,0.00307,0.62901,0.72742,0.51912,0.55772,0.36539,0.83088,0.441,0.50016,0.26333,1.54733,2.23678,0.13795,0.00349,0,0.000294239,0.000294239,0.000294239
34,1637.68,1.32937,2.04426,0.13145,0.00314,0.63352,0.84473,0.49339,0.55471,0.36578,0.79125,0.44441,0.48855,0.26699,1.5277,2.24027,0.14125,0.00344,0,0.000266532,0.000266532,0.000266532
35,1665.56,1.3134,1.98654,0.1279,0.00295,0.58694,0.76615,0.49738,0.5642,0.37555,0.79201,0.43049,0.50402,0.27579,1.53093,2.27705,0.14074,0.00337,0,0.000239766,0.000239766,0.000239766
36,1696.4,1.2901,1.94426,0.12378,0.00285,0.56493,0.73884,0.51657,0.57108,0.37633,0.7823,0.4374,0.50774,0.2753,1.51902,2.29875,0.14216,0.00335,0,0.000214046,0.000214046,0.000214046
37,1727.2,1.28595,1.91613,0.1241,0.00284,0.56867,0.83467,0.47669,0.56414,0.37452,0.77076,0.44023,0.49477,0.26671,1.51183,2.32799,0.14073,0.00331,0,0.000189475,0.000189475,0.000189475
38,1758.09,1.31388,2.00208,0.12643,0.00286,0.58906,0.83461,0.47652,0.56329,0.37375,0.77625,0.44094,0.49657,0.26221,1.51173,2.2886,0.14223,0.00329,0,0.000166149,0.000166149,0.000166149
