epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,9.28398,1.94484,2.5555,0.00657,0.00136,0.01491,0.00126,0.00079,1.70839,2.6245,0.0051,0.000322222,0.000322222,0.000322222
2,14.9511,1.95255,2.13966,0.00659,0.02588,0.24786,0.12813,0.07105,1.82179,2.26742,0.00568,0.000651229,0.000651229,0.000651229
3,20.6258,1.97966,1.78272,0.00634,0.6288,0.18025,0.16244,0.08773,1.81961,1.80224,0.00583,0.000975836,0.000975836,0.000975836
4,26.1339,1.9607,1.62085,0.00634,0.42666,0.21487,0.18575,0.10712,1.74088,1.65638,0.00544,0.0009802,0.0009802,0.0009802
5,31.5115,1.93259,1.52987,0.00631,0.58938,0.2052,0.21692,0.11694,1.86475,1.57698,0.00659,0.0009736,0.0009736,0.0009736
6,37.0477,1.88812,1.46279,0.00624,0.6726,0.23029,0.24015,0.12925,1.84867,1.46721,0.00642,0.000967,0.000967,0.000967
7,43.9606,1.91438,1.33559,0.00578,0.47485,0.25796,0.25023,0.14529,1.74959,1.33825,0.00542,0.0009604,0.0009604,0.0009604
8,49.5771,1.88435,1.27112,0.0059,0.66448,0.26439,0.26396,0.14917,1.8186,1.29139,0.0058,0.0009538,0.0009538,0.0009538
9,54.9403,1.88401,1.22449,0.00566,0.6123,0.2543,0.27357,0.16011,1.78668,1.25521,0.00569,0.0009472,0.0009472,0.0009472
10,60.432,1.95622,1.21179,0.00579,0.49003,0.27628,0.28025,0.15722,1.79978,1.18569,0.00577,0.0009406,0.0009406,0.0009406
11,66.1593,1.89097,1.16251,0.00594,0.53696,0.27632,0.29414,0.1639,1.82558,1.1624,0.00595,0.000934,0.000934,0.000934
12,71.8336,1.84747,1.14848,0.0059,0.36696,0.26815,0.27453,0.16237,1.7745,1.11836,0.00554,0.0009274,0.0009274,0.0009274
13,78.9357,1.86667,1.07963,0.00551,0.38211,0.27555,0.28778,0.16055,1.84965,1.10859,0.00609,0.0009208,0.0009208,0.0009208
14,84.3744,1.85185,1.04516,0.00563,0.55551,0.27109,0.29108,0.17669,1.76183,1.07846,0.00538,0.0009142,0.0009142,0.0009142
15,89.8877,1.83968,1.00794,0.00531,0.36307,0.27991,0.29984,0.17329,1.77319,1.04744,0.00574,0.0009076,0.0009076,0.0009076
16,95.2119,1.90394,1.00643,0.00546,0.34133,0.2964,0.29953,0.17076,1.85229,1.01534,0.00583,0.000901,0.000901,0.000901
17,100.764,1.88453,0.98713,0.00563,0.36732,0.27703,0.30715,0.1778,1.7965,0.99788,0.00552,0.0008944,0.0008944,0.0008944
18,106.285,1.89832,0.95727,0.0054,0.41341,0.30919,0.31046,0.17988,1.74237,0.97742,0.00556,0.0008878,0.0008878,0.0008878
19,113.399,1.88654,0.92991,0.00559,0.74466,0.25689,0.30486,0.17301,1.81583,0.97406,0.0059,0.0008812,0.0008812,0.0008812
20,118.975,1.85343,0.91361,0.0054,0.42777,0.31076,0.31753,0.18866,1.74685,0.94494,0.00537,0.0008746,0.0008746,0.0008746
21,124.664,1.86357,0.92111,0.0055,0.56358,0.30542,0.30228,0.17675,1.80447,0.92975,0.00572,0.000868,0.000868,0.000868
22,130.26,1.79447,0.88522,0.00545,0.41855,0.30094,0.31308,0.17817,1.81651,0.92793,0.00558,0.0008614,0.0008614,0.0008614
23,135.739,1.79086,0.90769,0.00563,0.57164,0.31262,0.31685,0.18895,1.74034,0.91612,0.00528,0.0008548,0.0008548,0.0008548
24,142.935,1.82567,0.87774,0.00544,0.4621,0.28299,0.31374,0.18719,1.7526,0.90414,0.00553,0.0008482,0.0008482,0.0008482
25,148.344,1.78449,0.86167,0.00566,0.42012,0.32344,0.3259,0.18297,1.79961,0.89923,0.00607,0.0008416,0.0008416,0.0008416
26,153.791,1.82158,0.87835,0.00558,0.51387,0.29055,0.31952,0.18399,1.79475,0.89143,0.00548,0.000835,0.000835,0.000835
27,159.054,1.86386,0.84525,0.00536,0.42599,0.3232,0.33004,0.19495,1.76239,0.86926,0.00538,0.0008284,0.0008284,0.0008284
28,164.355,1.82451,0.83526,0.00545,0.43833,0.30509,0.32493,0.18524,1.78573,0.89734,0.0055,0.0008218,0.0008218,0.0008218
29,169.676,1.79865,0.83254,0.00544,0.45285,0.31422,0.33493,0.19844,1.76476,0.85192,0.00562,0.0008152,0.0008152,0.0008152
30,176.603,1.84196,0.82602,0.00565,0.4548,0.31608,0.33462,0.19806,1.74662,0.84814,0.0054,0.0008086,0.0008086,0.0008086
31,181.917,1.77424,0.80496,0.00525,0.41515,0.33886,0.3376,0.19748,1.78396,0.83528,0.00568,0.000802,0.000802,0.000802
32,187.202,1.77203,0.79966,0.00542,0.40709,0.32709,0.3374,0.19743,1.77704,0.83163,0.00549,0.0007954,0.0007954,0.0007954
33,192.421,1.83354,0.80011,0.00516,0.44918,0.32707,0.33055,0.18837,1.7906,0.84785,0.0055,0.0007888,0.0007888,0.0007888
34,197.631,1.73612,0.76402,0.00503,0.51607,0.3167,0.33596,0.1918,1.79909,0.83596,0.00575,0.0007822,0.0007822,0.0007822
35,202.934,1.82311,0.79189,0.00541,0.41689,0.33823,0.33241,0.19103,1.7931,0.83681,0.00575,0.0007756,0.0007756,0.0007756
36,208.395,1.85985,0.79289,0.00526,0.47021,0.29942,0.32689,0.1976,1.75351,0.84626,0.00522,0.000769,0.000769,0.000769
37,215.238,1.79171,0.77627,0.00523,0.40061,0.33519,0.33112,0.20092,1.72709,0.82723,0.00512,0.0007624,0.0007624,0.0007624
38,220.67,1.80126,0.74588,0.00511,0.56778,0.34036,0.33699,0.19243,1.8167,0.82363,0.00559,0.0007558,0.0007558,0.0007558
39,225.987,1.75626,0.75391,0.00507,0.58007,0.33457,0.33899,0.19718,1.75861,0.82372,0.00558,0.0007492,0.0007492,0.0007492
40,231.301,1.77542,0.73603,0.00497,0.43983,0.32331,0.34485,0.2014,1.7798,0.8233,0.00556,0.0007426,0.0007426,0.0007426
41,236.627,1.76197,0.73711,0.00501,0.44148,0.32712,0.34886,0.20401,1.75451,0.8174,0.00537,0.000736,0.000736,0.000736
42,242.038,1.79682,0.74761,0.00508,0.45084,0.3406,0.35212,0.20167,1.77932,0.8081,0.00551,0.0007294,0.0007294,0.0007294
43,248.878,1.77591,0.74711,0.00513,0.45203,0.32879,0.33864,0.20238,1.76282,0.80984,0.00536,0.0007228,0.0007228,0.0007228
44,254.106,1.7971,0.73376,0.00521,0.43304,0.34864,0.34666,0.19852,1.80457,0.80528,0.00555,0.0007162,0.0007162,0.0007162
45,259.299,1.79081,0.72332,0.00497,0.59878,0.33259,0.34515,0.20357,1.7479,0.7901,0.00525,0.0007096,0.0007096,0.0007096
46,264.491,1.76215,0.69584,0.00479,0.59327,0.34196,0.34273,0.20432,1.74964,0.80416,0.00518,0.000703,0.000703,0.000703
47,269.86,1.73749,0.71691,0.00512,0.63188,0.32889,0.3417,0.2013,1.75278,0.79978,0.00517,0.0006964,0.0006964,0.0006964
48,275.152,1.75418,0.71067,0.00503,0.41848,0.34082,0.34164,0.20079,1.76072,0.79801,0.00534,0.0006898,0.0006898,0.0006898
49,281.945,1.76221,0.73347,0.00511,0.44843,0.35552,0.35159,0.20055,1.78323,0.79397,0.0059,0.0006832,0.0006832,0.0006832
50,287.225,1.78113,0.69456,0.00485,0.4513,0.339,0.35115,0.20045,1.78006,0.77972,0.00557,0.0006766,0.0006766,0.0006766
51,292.459,1.76461,0.72444,0.00527,0.487,0.32559,0.3466,0.20514,1.73834,0.78931,0.00516,0.00067,0.00067,0.00067
52,297.762,1.70592,0.69264,0.00501,0.60337,0.34317,0.3559,0.20895,1.72932,0.77525,0.00505,0.0006634,0.0006634,0.0006634
53,303.016,1.77809,0.69709,0.00507,0.45481,0.32638,0.3508,0.20422,1.79217,0.7875,0.00568,0.0006568,0.0006568,0.0006568
54,308.317,1.75321,0.69266,0.00507,0.48723,0.32131,0.35155,0.20678,1.75708,0.78217,0.00527,0.0006502,0.0006502,0.0006502
55,315.022,1.77991,0.69228,0.00491,0.42762,0.34804,0.34564,0.20324,1.73396,0.77936,0.00509,0.0006436,0.0006436,0.0006436
56,320.316,1.77109,0.69856,0.00493,0.41364,0.33486,0.33835,0.19995,1.78075,0.78317,0.00551,0.000637,0.000637,0.000637
57,325.636,1.74228,0.68114,0.00497,0.39481,0.34315,0.34523,0.20608,1.74166,0.7734,0.00525,0.0006304,0.0006304,0.0006304
