epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,15.5352,1.78433,3.74967,0.00533,0.00324,0.03903,0.00083,0.00023,1.41986,3.99749,0.0041,0.000322222,0.000322222,0.000322222
2,27.3954,1.72837,3.09361,0.00545,0.02505,0.26331,0.13485,0.07843,1.58718,3.51852,0.00506,0.000642576,0.000642576,0.000642576
3,39.0282,1.71399,2.57257,0.00511,0.65566,0.18238,0.20925,0.12228,1.48971,2.96756,0.00466,0.000949729,0.000949729,0.000949729
4,53.7496,1.71489,2.34907,0.005,0.62497,0.24852,0.24382,0.14831,1.48726,2.52559,0.00482,0.0009406,0.0009406,0.0009406
5,65.4119,1.66198,2.209,0.00509,0.61004,0.27591,0.28188,0.16995,1.50743,2.33756,0.0048,0.0009208,0.0009208,0.0009208
6,76.9975,1.61058,2.12249,0.00504,0.56524,0.28704,0.2869,0.16534,1.58538,2.15774,0.00562,0.000901,0.000901,0.000901
7,91.4872,1.64527,1.9019,0.00468,0.5273,0.31808,0.31082,0.19789,1.44482,1.99999,0.00437,0.0008812,0.0008812,0.0008812
8,103.32,1.60059,1.79517,0.00475,0.34707,0.33498,0.32036,0.19607,1.49373,1.87713,0.00467,0.0008614,0.0008614,0.0008614
9,117.902,1.62231,1.6997,0.00456,0.3814,0.35361,0.33279,0.20109,1.54025,1.78736,0.00518,0.0008416,0.0008416,0.0008416
10,129.711,1.67386,1.67174,0.00463,0.61194,0.32688,0.34231,0.21834,1.51372,1.69345,0.00456,0.0008218,0.0008218,0.0008218
11,141.001,1.61363,1.58421,0.00473,0.48268,0.32059,0.33947,0.21296,1.48502,1.62714,0.00483,0.000802,0.000802,0.000802
12,155.138,1.56928,1.55501,0.00477,0.59974,0.32589,0.34806,0.21687,1.49699,1.55657,0.00462,0.0007822,0.0007822,0.0007822
13,166.453,1.58785,1.43696,0.00431,0.46795,0.32846,0.34828,0.20799,1.55433,1.55316,0.00508,0.0007624,0.0007624,0.0007624
14,177.95,1.58003,1.40308,0.00455,0.4467,0.34737,0.35115,0.22729,1.40492,1.44469,0.00435,0.0007426,0.0007426,0.0007426
15,192.788,1.58254,1.33765,0.00433,0.47223,0.33938,0.365,0.23146,1.4566,1.41084,0.0046,0.0007228,0.0007228,0.0007228
16,204.679,1.60244,1.31103,0.00428,0.45159,0.35867,0.37917,0.22789,1.52362,1.35457,0.00491,0.000703,0.000703,0.000703
17,216.62,1.57189,1.28952,0.00445,0.47489,0.34551,0.37187,0.22949,1.49959,1.3303,0.0048,0.0006832,0.0006832,0.0006832
18,233.384,1.60989,1.2261,0.00429,0.43602,0.36659,0.37191,0.2407,1.43438,1.28501,0.00443,0.0006634,0.0006634,0.0006634
19,273.488,1.59279,1.20939,0.00432,0.46436,0.37032,0.3836,0.24217,1.43128,1.25234,0.00439,0.0006436,0.0006436,0.0006436
