epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,38.1904,1.8663,4.27466,0.00669,0.14768,0.07232,0.02532,0.01503,1.63737,4.5944,0.0054,0.000326087,0.000326087,0.000326087
2,48.2033,1.893,2.99971,0.00653,0.67414,0.18873,0.19762,0.11925,1.70657,3.03325,0.00588,0.000657244,0.000657244,0.000657244
3,58.2577,1.88182,2.59182,0.0062,0.47601,0.27014,0.23262,0.13495,1.68678,2.74626,0.00567,0.000986201,0.000986201,0.000986201
4,70.1424,1.81958,2.41525,0.00613,0.56484,0.29914,0.28869,0.17511,1.70349,2.40983,0.00599,0.0009901,0.0009901,0.0009901
5,79.8599,1.88783,2.30012,0.00606,0.73393,0.28239,0.29826,0.18337,1.66646,2.25714,0.00564,0.0009868,0.0009868,0.0009868
6,89.7315,1.81031,2.17893,0.00601,0.53857,0.30398,0.31698,0.19501,1.67631,2.09396,0.00569,0.0009835,0.0009835,0.0009835
7,101.663,1.88744,2.12111,0.00608,0.78728,0.30234,0.3373,0.19758,1.73629,2.04374,0.00608,0.0009802,0.0009802,0.0009802
8,111.576,1.85446,1.99904,0.00596,0.59968,0.32965,0.34009,0.20108,1.70561,1.97852,0.00576,0.0009769,0.0009769,0.0009769
9,121.23,1.8323,1.97898,0.00628,0.77463,0.31306,0.35271,0.20659,1.70106,1.90873,0.00642,0.0009736,0.0009736,0.0009736
10,130.828,1.82365,1.91671,0.00608,0.78997,0.31358,0.38011,0.22571,1.64596,1.83353,0.00553,0.0009703,0.0009703,0.0009703
11,142.818,1.78083,1.80152,0.00571,0.64294,0.34472,0.37724,0.23495,1.61559,1.76001,0.00519,0.000967,0.000967,0.000967
12,152.446,1.80653,1.74707,0.00558,0.68395,0.35336,0.40196,0.23681,1.69361,1.69498,0.00588,0.0009637,0.0009637,0.0009637
13,162.706,1.80221,1.75106,0.0058,0.67354,0.35066,0.39293,0.22943,1.69128,1.68136,0.00589,0.0009604,0.0009604,0.0009604
14,172.565,1.7801,1.69185,0.00563,0.5046,0.39985,0.39961,0.24184,1.66691,1.6523,0.00543,0.0009571,0.0009571,0.0009571
15,182.862,1.79441,1.65696,0.00549,0.63915,0.39315,0.41265,0.2488,1.66856,1.61484,0.00554,0.0009538,0.0009538,0.0009538
16,195.067,1.80227,1.67316,0.00579,0.47197,0.42416,0.42759,0.25503,1.68345,1.58347,0.00583,0.0009505,0.0009505,0.0009505
17,204.992,1.80458,1.62354,0.00544,0.51102,0.43296,0.44258,0.2715,1.60373,1.52345,0.00529,0.0009472,0.0009472,0.0009472
18,214.866,1.7532,1.58292,0.00559,0.50894,0.40862,0.41793,0.2617,1.59775,1.50652,0.00517,0.0009439,0.0009439,0.0009439
19,226.4,1.73679,1.55257,0.00549,0.58037,0.4371,0.4508,0.27657,1.63424,1.49449,0.00541,0.0009406,0.0009406,0.0009406
20,236.023,1.79934,1.55661,0.00545,0.4718,0.42156,0.43675,0.25882,1.66464,1.48816,0.00543,0.0009373,0.0009373,0.0009373
21,245.841,1.78328,1.5551,0.00556,0.70869,0.36708,0.42688,0.26592,1.62119,1.42986,0.00516,0.000934,0.000934,0.000934
22,257.646,1.75161,1.51777,0.00544,0.57191,0.45818,0.47375,0.28426,1.65507,1.41239,0.00544,0.0009307,0.0009307,0.0009307
23,267.05,1.74001,1.50962,0.0055,0.49318,0.43436,0.46063,0.2728,1.66807,1.38971,0.00565,0.0009274,0.0009274,0.0009274
24,276.267,1.75918,1.52381,0.00563,0.59929,0.43318,0.45799,0.27791,1.65423,1.42967,0.00541,0.0009241,0.0009241,0.0009241
25,285.655,1.739,1.46786,0.00532,0.55803,0.43893,0.46911,0.27233,1.66926,1.40217,0.00555,0.0009208,0.0009208,0.0009208
26,297.137,1.749,1.45187,0.0055,0.62399,0.44968,0.47678,0.27696,1.65449,1.38708,0.00568,0.0009175,0.0009175,0.0009175
27,306.199,1.75281,1.45816,0.00543,0.57118,0.44939,0.4687,0.28857,1.58364,1.3424,0.00512,0.0009142,0.0009142,0.0009142
28,315.944,1.75963,1.44661,0.00536,0.55411,0.46385,0.47886,0.28996,1.65789,1.33978,0.00531,0.0009109,0.0009109,0.0009109
29,328.302,1.76509,1.45027,0.00554,0.64659,0.45961,0.48882,0.29393,1.62366,1.30869,0.0055,0.0009076,0.0009076,0.0009076
30,337.694,1.75268,1.43956,0.0055,0.56778,0.47961,0.48762,0.29222,1.6222,1.304,0.00533,0.0009043,0.0009043,0.0009043
31,346.653,1.75978,1.42917,0.00521,0.52224,0.50784,0.48925,0.29752,1.61993,1.29667,0.00517,0.000901,0.000901,0.000901
32,356.008,1.74265,1.41032,0.00521,0.62013,0.46012,0.48754,0.29694,1.63413,1.28576,0.00538,0.0008977,0.0008977,0.0008977
33,367.938,1.74625,1.40189,0.00521,0.61338,0.46934,0.50836,0.30545,1.62745,1.26763,0.005,0.0008944,0.0008944,0.0008944
34,377.147,1.75398,1.39736,0.00542,0.53255,0.4683,0.48583,0.29352,1.61402,1.30998,0.00536,0.0008911,0.0008911,0.0008911
35,386.471,1.74057,1.37595,0.00531,0.57595,0.48504,0.49803,0.28682,1.70664,1.28673,0.00554,0.0008878,0.0008878,0.0008878
36,399.207,1.71572,1.37026,0.00514,0.588,0.47939,0.49882,0.30332,1.62382,1.30694,0.00529,0.0008845,0.0008845,0.0008845
37,408.932,1.74054,1.38868,0.00522,0.60309,0.46158,0.51022,0.30567,1.64488,1.27121,0.00565,0.0008812,0.0008812,0.0008812
38,418.047,1.72231,1.34935,0.00517,0.60827,0.4775,0.5033,0.31043,1.57775,1.22503,0.00525,0.0008779,0.0008779,0.0008779
39,430.101,1.73663,1.35586,0.00525,0.58861,0.49847,0.50511,0.31365,1.58383,1.23629,0.00484,0.0008746,0.0008746,0.0008746
