epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,73.8541,1.90668,0.47439,0.00618,0.00099,0.04727,0.00102,0.00042,1.5795,0.50765,0.00487,0.000354232,0.000354232,0.000354232
2,80.187,1.91542,0.31916,0.00629,0.04929,0.3102,0.14629,0.09753,1.66022,0.41117,0.00548,0.000719783,0.000719783,0.000719783
3,86.2121,1.94081,0.2386,0.00634,0.42636,0.1504,0.19756,0.11698,1.65233,0.31188,0.00547,0.00108045,0.00108045,0.00108045
4,92.4409,1.84829,0.19321,0.00584,0.49722,0.24559,0.23846,0.14825,1.60822,0.20954,0.00505,0.001089,0.001089,0.001089
5,101.24,1.85238,0.16987,0.00558,0.19788,0.3139,0.23504,0.13319,1.5986,0.17937,0.00539,0.00108167,0.00108167,0.00108167
6,107.151,1.84261,0.16264,0.00552,0.21507,0.34744,0.26155,0.15025,1.59502,0.19663,0.00531,0.00107434,0.00107434,0.00107434
7,113.071,1.82761,0.15313,0.00506,0.32049,0.38053,0.29541,0.17861,1.59805,0.22298,0.00538,0.001067,0.001067,0.001067
8,118.742,1.804,0.15331,0.00528,0.48863,0.28854,0.28611,0.16955,1.57932,0.15673,0.00541,0.00105967,0.00105967,0.00105967
9,124.206,1.75768,0.14914,0.00519,0.32741,0.33941,0.31561,0.18797,1.62281,0.15304,0.00541,0.00105234,0.00105234,0.00105234
10,132.049,1.73216,0.14729,0.00529,0.54054,0.29772,0.31821,0.1899,1.62684,0.1469,0.0058,0.00104501,0.00104501,0.00104501
11,137.892,1.75844,0.14409,0.00501,0.52877,0.29058,0.33089,0.20548,1.58036,0.14322,0.00524,0.00103767,0.00103767,0.00103767
12,143.355,1.73922,0.14698,0.00519,0.49101,0.32187,0.34957,0.21922,1.52033,0.14128,0.00518,0.00103034,0.00103034,0.00103034
13,148.842,1.73184,0.13983,0.00497,0.72497,0.29066,0.34493,0.2158,1.53561,0.13962,0.00531,0.00102301,0.00102301,0.00102301
14,154.527,1.75356,0.13998,0.00498,0.55504,0.32692,0.35405,0.2157,1.57226,0.1389,0.00509,0.00101568,0.00101568,0.00101568
15,159.917,1.71445,0.13931,0.0048,0.41715,0.34783,0.34307,0.21705,1.54258,0.14119,0.00487,0.00100834,0.00100834,0.00100834
16,167.823,1.74023,0.13988,0.00486,0.35928,0.34275,0.34906,0.21376,1.62344,0.13669,0.00544,0.00100101,0.00100101,0.00100101
17,173.567,1.72299,0.13971,0.00504,0.53344,0.35874,0.36403,0.2188,1.60672,0.13629,0.00532,0.000993678,0.000993678,0.000993678
18,178.977,1.75437,0.13951,0.00487,0.45321,0.36333,0.36979,0.23655,1.51737,0.13386,0.00472,0.000986346,0.000986346,0.000986346
19,184.569,1.7273,0.13904,0.00493,0.3814,0.376,0.36466,0.2396,1.49798,0.13618,0.00473,0.000979013,0.000979013,0.000979013
20,190.216,1.74815,0.13721,0.00493,0.51204,0.37904,0.38441,0.24749,1.50264,0.1331,0.00463,0.000971681,0.000971681,0.000971681
21,195.772,1.7003,0.1335,0.0047,0.76163,0.31726,0.38639,0.25417,1.49102,0.12771,0.00454,0.000964348,0.000964348,0.000964348
22,203.379,1.73767,0.13237,0.00475,0.40868,0.38854,0.38754,0.25309,1.51239,0.13097,0.00479,0.000957015,0.000957015,0.000957015
23,208.936,1.72605,0.13384,0.00472,0.43253,0.39726,0.39347,0.25001,1.5223,0.12827,0.00463,0.000949683,0.000949683,0.000949683
24,214.603,1.70105,0.13479,0.00497,0.39815,0.35332,0.37406,0.23388,1.57362,0.13296,0.00535,0.00094235,0.00094235,0.00094235
25,220.058,1.74273,0.13269,0.00495,0.52788,0.40574,0.40329,0.25766,1.52,0.13238,0.0049,0.000935018,0.000935018,0.000935018
26,225.818,1.71216,0.13197,0.00476,0.3575,0.38995,0.40081,0.2362,1.56897,0.13474,0.0049,0.000927685,0.000927685,0.000927685
27,231.469,1.71892,0.13157,0.00471,0.44834,0.40702,0.406,0.23944,1.59062,0.13908,0.00511,0.000920352,0.000920352,0.000920352
