epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,42.9468,1.44365,0.09974,0.00387,0.58212,0.45153,0.45468,0.27592,1.60412,0.11555,0.00504,0.0010627,0.0010627,0.0010627
2,50.5011,1.48613,0.10539,0.00417,0.51554,0.44286,0.44702,0.26728,1.60768,0.12616,0.00507,0.001089,0.001089,0.001089
3,60.1676,1.51053,0.10707,0.00416,0.55528,0.37552,0.4059,0.26211,1.48346,0.11963,0.00467,0.001067,0.001067,0.001067
4,68.0018,1.51188,0.10697,0.00414,0.57642,0.43422,0.46101,0.28431,1.50981,0.11409,0.00465,0.00104501,0.00104501,0.00104501
5,75.5122,1.48995,0.10547,0.00401,0.49769,0.4154,0.433,0.27323,1.52701,0.11805,0.0047,0.00102301,0.00102301,0.00102301
6,83.2586,1.48585,0.1062,0.00412,0.60692,0.44971,0.47276,0.30113,1.48181,0.1175,0.00467,0.00100101,0.00100101,0.00100101
7,90.8128,1.47245,0.10511,0.00402,0.57351,0.45949,0.48247,0.30867,1.50191,0.10851,0.00479,0.000979013,0.000979013,0.000979013
8,101.745,1.46551,0.10591,0.00396,0.60858,0.44318,0.47446,0.31198,1.42406,0.1082,0.00427,0.000957015,0.000957015,0.000957015
9,109.154,1.4699,0.10524,0.00407,0.61398,0.43079,0.45958,0.30993,1.39541,0.11392,0.00418,0.000935018,0.000935018,0.000935018
10,116.496,1.43571,0.10412,0.00399,0.58258,0.41876,0.45667,0.30259,1.42587,0.10911,0.00441,0.00091302,0.00091302,0.00091302
11,123.817,1.455,0.10247,0.00387,0.62306,0.44121,0.47559,0.31008,1.42164,0.10786,0.00453,0.000891022,0.000891022,0.000891022
12,134.458,1.45831,0.10294,0.00394,0.72903,0.44454,0.50159,0.32025,1.4865,0.11086,0.00455,0.000869024,0.000869024,0.000869024
13,141.942,1.40897,0.10267,0.00385,0.67827,0.4574,0.51292,0.33485,1.43803,0.11043,0.00429,0.000847026,0.000847026,0.000847026
14,149.424,1.46353,0.10439,0.00386,0.60235,0.46963,0.51317,0.32259,1.51606,0.10647,0.00471,0.000825029,0.000825029,0.000825029
15,156.893,1.39546,0.1006,0.00377,0.57553,0.47699,0.50709,0.34683,1.38181,0.10732,0.00396,0.000803031,0.000803031,0.000803031
