epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,25.6065,1.8981,3.84256,2.51901,0.00533,13.7011,0.00014,0.00413,1e-05,0,0.0002,0.00584,3e-05,1e-05,1.70319,3.2147,2.62383,0.00499,0,0.000322222,0.000322222,0.000322222
2,35.3077,1.96039,3.35888,2.18576,0.00533,9.65421,0.03815,0.15433,0.07868,0.04842,0.03631,0.15118,0.07026,0.03289,1.76978,2.96508,2.38228,0.00542,0,0.000651229,0.000651229,0.000651229
3,45.3075,1.98006,3.20271,1.74371,0.00545,6.56081,0.83552,0.08476,0.16737,0.09495,0.83983,0.07428,0.15928,0.07781,1.79476,2.84164,1.87452,0.0058,0,0.000975836,0.000975836,0.000975836
4,57.3049,1.96149,3.13914,1.58179,0.00546,4.52026,0.56739,0.17263,0.17017,0.09569,0.55513,0.16316,0.14724,0.06925,1.75477,2.89667,1.6579,0.00544,0,0.0009802,0.0009802,0.0009802
5,66.7975,1.91652,3.06847,1.44248,0.00509,3.50015,0.57396,0.2263,0.21803,0.12351,0.55892,0.21442,0.19316,0.08714,1.80507,2.72368,1.51684,0.00551,0,0.0009736,0.0009736,0.0009736
6,76.4081,1.92091,3.01821,1.33912,0.00528,3.01329,0.60724,0.2246,0.24241,0.13985,0.61305,0.21836,0.21781,0.11202,1.75344,2.62835,1.41013,0.00532,0,0.000967,0.000967,0.000967
7,86.2679,1.90382,3.02314,1.27649,0.00509,2.65557,0.39003,0.26573,0.24124,0.14181,0.38157,0.24716,0.21652,0.10676,1.73687,2.69146,1.28175,0.00514,0,0.0009604,0.0009604,0.0009604
8,98.0431,1.88409,2.90912,1.16021,0.00493,2.34634,0.59283,0.25836,0.26429,0.15553,0.7356,0.23326,0.24125,0.12165,1.75975,2.73649,1.2182,0.00529,0,0.0009538,0.0009538,0.0009538
9,107.624,1.90331,2.95812,1.13701,0.00491,2.11066,0.53905,0.24092,0.25911,0.14492,0.52478,0.22763,0.24054,0.1185,1.80138,2.67058,1.21502,0.00531,0,0.0009472,0.0009472,0.0009472
10,117.414,1.8333,2.85819,1.11999,0.00497,1.80506,0.48553,0.27529,0.28586,0.17036,0.54318,0.25113,0.26276,0.13689,1.74891,2.55134,1.09865,0.00501,0,0.0009406,0.0009406,0.0009406
