epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,13.0254,1.93108,3.84397,2.52444,0.00556,13.6506,0.00031,0.00886,2e-05,1e-05,0.00035,0.00992,6e-05,2e-05,1.70662,3.18815,2.61408,0.00504,0,0.000322222,0.000322222,0.000322222
2,27.2051,1.97873,3.32515,2.18597,0.00534,9.63428,0.03937,0.14721,0.07449,0.04682,0.03892,0.14175,0.07435,0.04004,1.75769,2.88126,2.39796,0.0053,0,0.000642576,0.000642576,0.000642576
3,38.149,1.95885,3.16706,1.7408,0.00531,6.54897,0.78164,0.13728,0.16543,0.09661,0.77104,0.12489,0.15021,0.07264,1.75239,2.88107,1.89043,0.00522,0,0.000949729,0.000949729,0.000949729
4,48.8394,1.94706,3.08043,1.56976,0.00531,4.56261,0.56758,0.1869,0.17095,0.09929,0.54747,0.17344,0.14808,0.07043,1.7287,2.83527,1.66312,0.00503,0,0.0009406,0.0009406,0.0009406
5,62.7004,1.91007,3.02862,1.43774,0.00502,3.54961,0.53303,0.22345,0.21234,0.11989,0.51988,0.2175,0.19524,0.0922,1.764,2.61153,1.54411,0.0055,0,0.0009208,0.0009208,0.0009208
6,73.4581,1.9153,2.98644,1.34102,0.00532,3.08463,0.65625,0.21987,0.23475,0.13921,0.6385,0.21535,0.21645,0.10418,1.77904,2.61363,1.45217,0.00567,0,0.000901,0.000901,0.000901
7,83.9859,1.89692,2.96204,1.27627,0.00504,2.75623,0.44404,0.28143,0.2449,0.13773,0.4304,0.25719,0.21769,0.10329,1.74612,2.61888,1.34203,0.00505,0,0.0008812,0.0008812,0.0008812
8,97.8703,1.86366,2.85029,1.16717,0.00482,2.50301,0.61438,0.2216,0.25155,0.1487,0.58882,0.2134,0.21878,0.10747,1.76212,2.57465,1.21137,0.00542,0,0.0008614,0.0008614,0.0008614
9,108.905,1.86446,2.89721,1.14527,0.00482,2.26507,0.4231,0.27683,0.26902,0.16,0.43258,0.22923,0.2436,0.11889,1.73744,2.57687,1.15364,0.00484,0,0.0008416,0.0008416,0.0008416
10,119.504,1.8189,2.79065,1.13513,0.00496,2.00853,0.51259,0.26871,0.27031,0.16076,0.5268,0.24957,0.24954,0.12509,1.74344,2.50774,1.11079,0.0054,0,0.0008218,0.0008218,0.0008218
11,133.144,1.82299,2.77978,1.0719,0.00467,1.76097,0.64946,0.24959,0.27636,0.16465,0.57519,0.25066,0.25912,0.13302,1.72333,2.4944,1.09055,0.0051,0,0.000802,0.000802,0.000802
12,143.899,1.90736,2.85291,1.05986,0.00468,1.59585,0.60869,0.30026,0.29155,0.17101,0.4546,0.25921,0.26398,0.14055,1.74666,2.51158,1.06973,0.00515,0,0.0007822,0.0007822,0.0007822
13,154.421,1.81503,2.72536,1.00774,0.00457,1.37544,0.48426,0.31353,0.29623,0.17574,0.49815,0.23651,0.25822,0.13748,1.6988,2.45432,1.04386,0.00487,0,0.0007624,0.0007624,0.0007624
14,168.371,1.80547,2.71168,0.99308,0.00454,1.25571,0.40619,0.30661,0.29342,0.17413,0.41154,0.27513,0.25526,0.12981,1.75798,2.43036,0.99106,0.00505,0,0.0007426,0.0007426,0.0007426
15,179.203,1.82386,2.69698,0.9703,0.00456,1.16073,0.54587,0.31115,0.30518,0.17424,0.57056,0.23932,0.26425,0.13114,1.74709,2.55222,0.96206,0.00491,0,0.0007228,0.0007228,0.0007228
16,189.879,1.82429,2.73254,0.9808,0.00461,1.14793,0.56877,0.31182,0.31082,0.18086,0.56629,0.27077,0.28211,0.14561,1.73022,2.39174,0.96182,0.00493,0,0.000703,0.000703,0.000703
17,203.623,1.81111,2.74294,0.96587,0.00467,1.13461,0.52013,0.2882,0.31593,0.18588,0.44527,0.26877,0.29033,0.15466,1.7519,2.46332,0.92893,0.00504,0,0.0006832,0.0006832,0.0006832
18,214.681,1.80959,2.65945,0.912,0.00449,1.0808,0.56781,0.29832,0.30528,0.18398,0.55147,0.28128,0.2836,0.14517,1.69453,2.49201,0.9288,0.00478,0,0.0006634,0.0006634,0.0006634
19,225.2,1.72614,2.57048,0.88263,0.00428,1.04999,0.55709,0.30468,0.30523,0.18524,0.54293,0.26165,0.28286,0.14477,1.67871,2.38261,0.91149,0.00478,0,0.0006436,0.0006436,0.0006436
20,238.95,1.73311,2.57975,0.87054,0.00442,0.97566,0.54574,0.3189,0.31304,0.18834,0.59465,0.26015,0.2795,0.14472,1.69473,2.35561,0.90644,0.00475,0,0.0006238,0.0006238,0.0006238
21,249.523,1.80522,2.71874,0.88578,0.00431,1.05374,0.61815,0.31268,0.31619,0.19071,0.56864,0.28563,0.28096,0.14878,1.68361,2.36467,0.89405,0.00484,0,0.000604,0.000604,0.000604
22,260.14,1.72547,2.54786,0.86538,0.0044,0.97152,0.66873,0.26746,0.30642,0.18614,0.62161,0.25724,0.28256,0.14674,1.69835,2.33656,0.89643,0.00475,0,0.0005842,0.0005842,0.0005842
23,274.123,1.71267,2.53076,0.85652,0.00431,0.9653,0.55419,0.33121,0.3162,0.19147,0.53634,0.30889,0.29233,0.15249,1.66323,2.35605,0.87002,0.00458,0,0.0005644,0.0005644,0.0005644
24,284.74,1.76295,2.63569,0.85079,0.00414,0.96007,0.3579,0.32703,0.31364,0.19016,0.66655,0.25084,0.28347,0.14695,1.70147,2.33346,0.8634,0.00465,0,0.0005446,0.0005446,0.0005446
25,295.27,1.78232,2.64254,0.82968,0.0042,0.98053,0.37768,0.32126,0.31447,0.19467,0.35732,0.30277,0.29371,0.1545,1.67436,2.32111,0.84511,0.00463,0,0.0005248,0.0005248,0.0005248
26,309.41,1.76703,2.67169,0.82913,0.00419,0.97425,0.57859,0.31365,0.31641,0.19488,0.56154,0.29242,0.29295,0.15554,1.67724,2.35955,0.84621,0.00471,0,0.000505,0.000505,0.000505
27,320.178,1.75921,2.61272,0.80787,0.00412,0.95185,0.57697,0.31304,0.32859,0.20072,0.52451,0.28652,0.30354,0.16264,1.64546,2.3457,0.83873,0.00452,0,0.0004852,0.0004852,0.0004852
28,331.058,1.6919,2.53107,0.80396,0.00416,0.94654,0.5959,0.32688,0.33136,0.2035,0.55391,0.29407,0.29239,0.15881,1.65097,2.29142,0.83288,0.00446,0,0.0004654,0.0004654,0.0004654
29,345.022,1.76291,2.5874,0.80999,0.00428,0.94164,0.36607,0.32906,0.3282,0.1955,0.57461,0.26406,0.2847,0.14789,1.67297,2.28144,0.83496,0.00456,0,0.0004456,0.0004456,0.0004456
30,355.546,1.70081,2.48225,0.78309,0.00407,0.91408,0.39253,0.33408,0.33205,0.20468,0.36646,0.29995,0.30401,0.16337,1.64385,2.26152,0.81218,0.00443,0,0.0004258,0.0004258,0.0004258
31,366.252,1.69695,2.45926,0.79124,0.00405,0.87783,0.41034,0.32819,0.31983,0.19878,0.54214,0.30601,0.29923,0.15937,1.61097,2.24606,0.80654,0.00444,0,0.000406,0.000406,0.000406
32,380.248,1.69507,2.46757,0.77184,0.00402,0.90488,0.40615,0.33966,0.3308,0.20253,0.37504,0.32115,0.30401,0.16068,1.62332,2.25191,0.80425,0.00427,0,0.0003862,0.0003862,0.0003862
33,390.829,1.73801,2.54476,0.76251,0.00397,0.89047,0.42473,0.32925,0.33155,0.20588,0.38971,0.29321,0.29792,0.16005,1.60427,2.25138,0.79526,0.00426,0,0.0003664,0.0003664,0.0003664
34,401.558,1.74518,2.5433,0.77056,0.00403,0.88911,0.61084,0.31245,0.33372,0.20767,0.56066,0.29546,0.29888,0.16026,1.61675,2.29051,0.78824,0.00435,0,0.0003466,0.0003466,0.0003466
35,416.558,1.70116,2.48181,0.75317,0.00383,0.87437,0.63285,0.31794,0.34164,0.21387,0.56615,0.29344,0.30779,0.16026,1.62239,2.28725,0.7845,0.00428,0,0.0003268,0.0003268,0.0003268
36,428.778,1.5207,2.1383,0.72685,0.00378,0.64627,0.62161,0.30699,0.33165,0.20758,0.56334,0.28006,0.29106,0.15702,1.62488,2.29378,0.81307,0.00439,0,0.000307,0.000307,0.000307
37,438.563,1.51402,2.12074,0.70065,0.00377,0.59991,0.57253,0.33048,0.33134,0.20876,0.54176,0.30601,0.30534,0.16285,1.6093,2.24654,0.79448,0.00435,0,0.0002872,0.0002872,0.0002872
38,451.913,1.4924,2.115,0.67845,0.00361,0.58481,0.61803,0.33608,0.33715,0.20874,0.5512,0.30956,0.30549,0.16325,1.6253,2.2688,0.79641,0.00432,0,0.0002674,0.0002674,0.0002674
39,461.832,1.48027,2.07004,0.67162,0.00374,0.59583,0.59035,0.35024,0.33945,0.2088,0.5501,0.32811,0.3126,0.16512,1.61299,2.23424,0.79041,0.00431,0,0.0002476,0.0002476,0.0002476
40,471.606,1.52366,2.14334,0.66041,0.00364,0.58379,0.61161,0.33491,0.33708,0.21007,0.59603,0.30674,0.31294,0.16255,1.6165,2.24467,0.78043,0.00437,0,0.0002278,0.0002278,0.0002278
41,485.048,1.46569,2.02769,0.64854,0.00365,0.57333,0.62313,0.32693,0.33446,0.20816,0.59927,0.29364,0.30414,0.16091,1.62158,2.23462,0.77896,0.00421,0,0.000208,0.000208,0.000208
42,494.779,1.47506,2.07693,0.64457,0.00346,0.56029,0.60771,0.32279,0.33307,0.207,0.55959,0.30663,0.30571,0.16157,1.59663,2.21907,0.77946,0.00414,0,0.0001882,0.0001882,0.0001882
43,504.466,1.44245,2.0363,0.6318,0.00332,0.56886,0.59585,0.33964,0.3381,0.20818,0.5684,0.30281,0.31051,0.16273,1.61068,2.20929,0.77646,0.00415,0,0.0001684,0.0001684,0.0001684
44,517.684,1.45286,2.02974,0.64403,0.0035,0.56718,0.4296,0.34706,0.33632,0.21026,0.58249,0.30099,0.30949,0.16457,1.59685,2.20376,0.77764,0.00406,0,0.0001486,0.0001486,0.0001486
45,527.925,1.46541,2.0621,0.6261,0.0034,0.55953,0.60675,0.34573,0.33694,0.21227,0.56435,0.32326,0.31393,0.16635,1.58129,2.19784,0.7761,0.00404,0,0.0001288,0.0001288,0.0001288
46,537.786,1.47334,2.0611,0.63593,0.00339,0.56306,0.60886,0.34004,0.34192,0.2133,0.55992,0.32269,0.31299,0.16266,1.58628,2.18728,0.77236,0.00405,0,0.000109,0.000109,0.000109
47,547.874,1.48975,2.08523,0.63785,0.0034,0.5546,0.6125,0.34344,0.33971,0.21196,0.56963,0.31685,0.30896,0.16237,1.58672,2.19446,0.76937,0.00405,0,8.92e-05,8.92e-05,8.92e-05
48,561.159,1.44981,1.99344,0.62518,0.00334,0.5527,0.59802,0.3411,0.34028,0.21096,0.54888,0.31462,0.30827,0.16212,1.58972,2.192,0.76879,0.00402,0,6.94e-05,6.94e-05,6.94e-05
