epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,21.7679,1.94071,3.77646,0.56012,0.00505,8.27538,0.00064,0.01063,0.00015,5e-05,0.00012,0.00457,0,0,1.65161,3.09464,0.59767,0.00503,0,0.000362283,0.000362283,0.000362283
2,37.4555,1.96749,3.29993,0.37704,0.00512,4.90992,0.53238,0.15557,0.17392,0.10805,0.52582,0.15058,0.16337,0.09376,1.75061,2.85641,0.32935,0.00537,0,0.000727781,0.000727781,0.000727781
3,55.582,1.97556,3.23758,0.25648,0.00503,2.96579,0.2368,0.26639,0.17244,0.10145,0.22113,0.25151,0.15547,0.07639,1.7779,2.83883,0.29718,0.00567,0,0.00108839,0.00108839,0.00108839
4,71.7442,1.95535,3.20776,0.21507,0.00499,2.41932,0.25051,0.24616,0.18308,0.10175,0.23939,0.22593,0.16948,0.08466,1.72722,2.8241,0.37536,0.00567,0,0.001089,0.001089,0.001089
5,89.9242,1.91928,3.19499,0.19312,0.005,2.30469,0.27131,0.25636,0.21347,0.12636,0.24734,0.23797,0.19382,0.09624,1.68209,2.80332,0.24159,0.00536,0,0.00108167,0.00108167,0.00108167
6,105.678,1.8487,3.14186,0.18273,0.00466,2.10865,0.46002,0.24494,0.22257,0.13096,0.43728,0.22494,0.1909,0.10105,1.66386,2.92435,0.20317,0.00529,0,0.00107434,0.00107434,0.00107434
7,123.598,1.87705,3.11797,0.1744,0.00456,1.72671,0.28671,0.26496,0.25193,0.15555,0.29978,0.2356,0.22427,0.13124,1.63551,2.75104,0.17709,0.00495,0,0.001067,0.001067,0.001067
8,139.291,1.80679,3.04223,0.16935,0.00444,1.3109,0.32746,0.27444,0.26081,0.16227,0.31709,0.26453,0.24153,0.13494,1.63473,2.63277,0.16885,0.00493,0,0.00105967,0.00105967,0.00105967
9,157.38,1.81188,3.00513,0.16587,0.00442,1.22521,0.33712,0.26998,0.2633,0.1636,0.30079,0.23916,0.23126,0.12664,1.6246,2.70252,0.17027,0.0048,0,0.00105234,0.00105234,0.00105234
10,173,1.85004,3.09507,0.1708,0.00473,1.28553,0.3192,0.27657,0.27164,0.1715,0.2994,0.25341,0.24339,0.14223,1.62277,2.61386,0.16742,0.00495,0,0.00104501,0.00104501,0.00104501
