epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,29.4046,1.53034,2.37537,0.12316,0.00328,0.66482,0.60913,0.36537,0.37873,0.24838,0.6161,0.32847,0.33867,0.19079,1.49348,2.50933,0.13626,0.00394,0,0.00108685,0.00108685,0.00108685
2,58.8857,1.56515,2.44877,0.12889,0.00344,0.78969,0.51071,0.33028,0.3361,0.22088,0.48555,0.30824,0.29652,0.17053,1.55245,2.7133,0.14841,0.00443,0,0.001089,0.001089,0.001089
3,84.3041,1.58339,2.4691,0.13393,0.00376,0.86947,0.53223,0.32845,0.35185,0.22273,0.52318,0.31521,0.31882,0.17078,1.57009,2.51734,0.14818,0.00457,0,0.001067,0.001067,0.001067
4,112.204,1.61945,2.47564,0.13361,0.0038,0.81524,0.5325,0.35211,0.36858,0.24407,0.51615,0.34807,0.35129,0.19286,1.52151,2.41852,0.14867,0.00447,0,0.00104501,0.00104501,0.00104501
5,141.005,1.61098,2.51302,0.1344,0.00386,0.82799,0.54051,0.35789,0.35752,0.23587,0.52047,0.32968,0.32321,0.18479,1.50883,2.42072,0.14784,0.0042,0,0.00102301,0.00102301,0.00102301
6,171.919,1.57177,2.42954,0.13087,0.00361,0.74435,0.65078,0.34436,0.3911,0.2547,0.63731,0.3301,0.35818,0.20372,1.53345,2.3881,0.1341,0.00421,0,0.00100101,0.00100101,0.00100101
7,201.047,1.55431,2.42053,0.12951,0.00355,0.76339,0.68622,0.36511,0.3822,0.24905,0.59474,0.34676,0.34195,0.19376,1.49297,2.47318,0.13405,0.00411,0,0.000979013,0.000979013,0.000979013
8,227.138,1.53631,2.37626,0.13014,0.00347,0.7906,0.53965,0.36321,0.37317,0.24594,0.48584,0.32982,0.33374,0.18856,1.49961,2.39985,0.14178,0.00413,0,0.000957015,0.000957015,0.000957015
9,256.988,1.54693,2.40319,0.12845,0.00351,0.75953,0.69205,0.37547,0.40072,0.26637,0.66818,0.36906,0.37136,0.2081,1.49506,2.40868,0.13489,0.00413,0,0.000935018,0.000935018,0.000935018
10,287.13,1.57706,2.40735,0.12822,0.00354,0.76311,0.55143,0.37343,0.38642,0.25324,0.50314,0.33796,0.34509,0.19981,1.491,2.35327,0.13437,0.00401,0,0.00091302,0.00091302,0.00091302
11,316.713,1.5421,2.36835,0.13125,0.00358,0.75611,0.5796,0.36392,0.37535,0.25065,0.55054,0.34039,0.33959,0.19225,1.51984,2.3172,0.13804,0.00429,0,0.000891022,0.000891022,0.000891022
12,346.444,1.52926,2.38717,0.12629,0.00353,0.70694,0.56923,0.38914,0.38693,0.26266,0.50683,0.36541,0.35262,0.20533,1.48529,2.34455,0.13431,0.00418,0,0.000869024,0.000869024,0.000869024
