epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,24.1572,1.86405,2.48802,0.00594,0.88265,0.21075,0.23299,0.15468,1.49957,1.7646,0.00449,0.000322222,0.000322222,0.000322222
2,36.0452,1.76105,1.40177,0.00575,0.69835,0.26833,0.29702,0.1963,1.52794,1.11086,0.00456,0.000642576,0.000642576,0.000642576
3,44.798,1.81291,1.06071,0.00559,0.71859,0.31708,0.32393,0.17882,1.76521,0.99758,0.00572,0.000949729,0.000949729,0.000949729
4,53.297,1.84445,0.9464,0.00578,0.57186,0.29122,0.32292,0.19881,1.63639,0.91591,0.00539,0.0009406,0.0009406,0.0009406
5,62.1292,1.7592,0.86809,0.0057,0.55732,0.33954,0.33031,0.19367,1.69556,0.85138,0.00545,0.0009208,0.0009208,0.0009208
6,73.5728,1.73422,0.83469,0.00574,0.49548,0.36156,0.36978,0.20768,1.75614,0.82097,0.0059,0.000901,0.000901,0.000901
7,82.3651,1.76138,0.78759,0.00535,0.50441,0.36616,0.37728,0.22325,1.6191,0.81039,0.00522,0.0008812,0.0008812,0.0008812
8,91.1415,1.70153,0.74604,0.0053,0.59608,0.39519,0.38488,0.23264,1.64354,0.77683,0.00555,0.0008614,0.0008614,0.0008614
9,102.865,1.70733,0.73174,0.00511,0.49251,0.36885,0.37681,0.22786,1.61099,0.74624,0.00524,0.0008416,0.0008416,0.0008416
10,111.321,1.74718,0.71884,0.00523,0.6339,0.32847,0.36502,0.21093,1.66948,0.78938,0.00566,0.0008218,0.0008218,0.0008218
11,119.675,1.69926,0.6958,0.00531,0.54692,0.37033,0.38842,0.23174,1.62507,0.73901,0.00528,0.000802,0.000802,0.000802
12,128.047,1.69235,0.71059,0.00536,0.6192,0.36618,0.36422,0.22509,1.61907,0.73219,0.00499,0.0007822,0.0007822,0.0007822
13,139.524,1.67391,0.66677,0.00488,0.43786,0.35567,0.3756,0.22221,1.64463,0.77129,0.00528,0.0007624,0.0007624,0.0007624
14,148.032,1.66508,0.64734,0.005,0.46454,0.39921,0.40615,0.24669,1.57549,0.71289,0.00513,0.0007426,0.0007426,0.0007426
15,156.724,1.65481,0.63045,0.00477,0.4836,0.41706,0.40978,0.24227,1.61221,0.72256,0.00493,0.0007228,0.0007228,0.0007228
16,165.205,1.68594,0.64707,0.00476,0.53663,0.37587,0.39647,0.23605,1.67924,0.72215,0.00516,0.000703,0.000703,0.000703
17,176.585,1.65777,0.63436,0.00487,0.50038,0.38938,0.40561,0.24664,1.61689,0.70985,0.00507,0.0006832,0.0006832,0.0006832
18,185.157,1.66559,0.62371,0.00463,0.53821,0.40431,0.41767,0.24916,1.6105,0.70563,0.00514,0.0006634,0.0006634,0.0006634
19,193.939,1.65518,0.60956,0.00473,0.51854,0.39471,0.41142,0.25184,1.58422,0.67991,0.00493,0.0006436,0.0006436,0.0006436
20,202.685,1.61253,0.59615,0.00458,0.51932,0.40011,0.41241,0.25447,1.55903,0.67803,0.00486,0.0006238,0.0006238,0.0006238
21,214.299,1.62496,0.59562,0.00464,0.51486,0.39049,0.41052,0.24665,1.61397,0.68576,0.0052,0.000604,0.000604,0.000604
22,222.714,1.55821,0.56038,0.00454,0.51931,0.3978,0.4186,0.25287,1.62046,0.68392,0.00504,0.0005842,0.0005842,0.0005842
