epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,58.1611,1.69905,2.84455,0.00584,0.81652,0.35261,0.39258,0.27429,1.39328,1.71122,0.00436,0.000366308,0.000366308,0.000366308
2,72.7513,1.71968,1.70263,0.00555,0.49019,0.41085,0.41935,0.26791,1.53411,1.50172,0.00502,0.00073421,0.00073421,0.00073421
3,90.0957,1.75619,1.57645,0.00573,0.69419,0.43728,0.45166,0.28866,1.55178,1.36575,0.00531,0.00109967,0.00109967,0.00109967
4,104.142,1.73832,1.57149,0.00612,0.49183,0.43251,0.4502,0.28088,1.5639,1.36656,0.00562,0.0011,0.0011,0.0011
5,121.922,1.74156,1.49639,0.00593,0.69042,0.43491,0.45748,0.28378,1.58732,1.27243,0.00543,0.00109633,0.00109633,0.00109633
6,136.133,1.7522,1.47249,0.00597,0.56761,0.47046,0.46968,0.29852,1.52348,1.28166,0.00576,0.00109267,0.00109267,0.00109267
7,150.443,1.70426,1.39738,0.00558,0.78626,0.40558,0.46972,0.29857,1.51653,1.21722,0.005,0.001089,0.001089,0.001089
8,167.885,1.70753,1.41508,0.00571,0.5572,0.47174,0.49384,0.3116,1.55848,1.19987,0.00589,0.00108534,0.00108534,0.00108534
9,182.272,1.66842,1.33311,0.00553,0.5335,0.49169,0.50385,0.31304,1.54351,1.19293,0.00559,0.00108167,0.00108167,0.00108167
10,199.843,1.72319,1.39069,0.00579,0.65595,0.52144,0.53972,0.31662,1.66009,1.21051,0.00636,0.001078,0.001078,0.001078
11,214.262,1.70297,1.35863,0.00564,0.72127,0.44175,0.49297,0.31404,1.54297,1.1897,0.0052,0.00107434,0.00107434,0.00107434
12,231.543,1.68039,1.33798,0.00557,0.69225,0.52283,0.54455,0.33139,1.50891,1.15594,0.00565,0.00107067,0.00107067,0.00107067
13,245.877,1.65023,1.29528,0.00542,0.67967,0.51771,0.54213,0.32681,1.58106,1.16591,0.00545,0.001067,0.001067,0.001067
14,263.303,1.66352,1.31205,0.00577,0.81043,0.47565,0.54272,0.32128,1.55945,1.18069,0.00569,0.00106334,0.00106334,0.00106334
15,277.218,1.65733,1.28217,0.00526,0.64053,0.51411,0.53477,0.33416,1.48675,1.17717,0.00509,0.00105967,0.00105967,0.00105967
16,291.642,1.62564,1.28595,0.00526,0.63656,0.49985,0.52677,0.31788,1.54816,1.17017,0.00579,0.00105601,0.00105601,0.00105601
17,309,1.62275,1.22405,0.0053,0.70663,0.51354,0.55539,0.32529,1.58789,1.12694,0.00566,0.00105234,0.00105234,0.00105234
18,323,1.6569,1.27701,0.00547,0.67208,0.49502,0.5456,0.32103,1.58475,1.16662,0.00606,0.00104867,0.00104867,0.00104867
19,340.361,1.65978,1.26098,0.00526,0.59102,0.52551,0.53375,0.32023,1.61194,1.18422,0.00567,0.00104501,0.00104501,0.00104501
20,354.477,1.61172,1.22671,0.00519,0.65271,0.54158,0.55228,0.35145,1.44758,1.14709,0.00479,0.00104134,0.00104134,0.00104134
21,372.019,1.61543,1.22485,0.00511,0.60476,0.55312,0.55312,0.33326,1.54398,1.12171,0.0052,0.00103767,0.00103767,0.00103767
22,386.116,1.61831,1.23099,0.00523,0.56814,0.51869,0.51252,0.3187,1.54473,1.10643,0.0051,0.00103401,0.00103401,0.00103401
23,400.261,1.62705,1.2037,0.00515,0.66967,0.53293,0.54883,0.33985,1.53549,1.11219,0.00559,0.00103034,0.00103034,0.00103034
24,417.608,1.61826,1.1962,0.00507,0.60622,0.54375,0.55128,0.34554,1.51762,1.08995,0.00517,0.00102668,0.00102668,0.00102668
25,431.513,1.61817,1.20651,0.0052,0.64498,0.51397,0.5588,0.35151,1.51261,1.06579,0.0052,0.00102301,0.00102301,0.00102301
26,449.243,1.6402,1.18112,0.00523,0.73743,0.53821,0.59213,0.37081,1.46876,1.10029,0.0049,0.00101934,0.00101934,0.00101934
27,463.405,1.62431,1.18689,0.00516,0.69636,0.57807,0.58037,0.36544,1.53407,1.07787,0.00509,0.00101568,0.00101568,0.00101568
28,480.742,1.58508,1.1469,0.00521,0.6394,0.56514,0.58969,0.37331,1.49592,1.0717,0.00498,0.00101201,0.00101201,0.00101201
29,495.044,1.60326,1.17611,0.00539,0.7007,0.56855,0.60923,0.37903,1.46225,1.02741,0.00494,0.00100834,0.00100834,0.00100834
30,512.515,1.61491,1.15108,0.0048,0.68125,0.5939,0.60942,0.39781,1.44009,1.03945,0.00472,0.00100468,0.00100468,0.00100468
31,527.033,1.59748,1.17408,0.00527,0.65617,0.58194,0.58567,0.36136,1.43631,1.06168,0.00489,0.00100101,0.00100101,0.00100101
32,540.772,1.61248,1.17057,0.00501,0.73542,0.57109,0.57643,0.37205,1.39676,1.03827,0.00449,0.000997345,0.000997345,0.000997345
33,558.315,1.61252,1.15565,0.00499,0.67479,0.54884,0.58825,0.37881,1.43228,1.02349,0.00493,0.000993678,0.000993678,0.000993678
34,572.268,1.56808,1.11898,0.00506,0.74703,0.56351,0.61371,0.37702,1.51579,1.06064,0.00523,0.000990012,0.000990012,0.000990012
35,589.439,1.6058,1.13961,0.00499,0.68405,0.59756,0.63142,0.3813,1.57454,1.04332,0.00551,0.000986346,0.000986346,0.000986346
36,603.586,1.56397,1.13591,0.00485,0.66343,0.58246,0.59601,0.38826,1.43502,1.03726,0.00493,0.000982679,0.000982679,0.000982679
37,620.92,1.55588,1.12801,0.00488,0.69105,0.58452,0.61261,0.39366,1.42365,0.99921,0.00464,0.000979013,0.000979013,0.000979013
38,634.921,1.5172,1.06541,0.00458,0.71461,0.54411,0.59416,0.3781,1.45513,1.02318,0.00494,0.000975347,0.000975347,0.000975347
39,648.934,1.57892,1.10548,0.00485,0.6378,0.58735,0.60938,0.36846,1.51017,1.04608,0.00542,0.000971681,0.000971681,0.000971681
40,666.029,1.54774,1.06102,0.00457,0.75287,0.59582,0.62941,0.40601,1.41461,0.94751,0.0045,0.000968014,0.000968014,0.000968014
41,680.046,1.51837,1.04694,0.00461,0.72922,0.57798,0.62978,0.40418,1.39139,0.95885,0.00493,0.000964348,0.000964348,0.000964348
42,697.282,1.54456,1.0628,0.00457,0.76984,0.55812,0.63328,0.41286,1.40109,0.96346,0.00493,0.000960682,0.000960682,0.000960682
43,711.6,1.57233,1.12038,0.00498,0.74235,0.59312,0.64145,0.40115,1.39356,0.93536,0.00448,0.000957015,0.000957015,0.000957015
44,728.679,1.52876,1.08386,0.00483,0.72731,0.59581,0.64299,0.40397,1.3642,0.94393,0.00453,0.000953349,0.000953349,0.000953349
45,742.68,1.51945,1.0317,0.00446,0.76225,0.5941,0.62762,0.39409,1.44568,0.96282,0.00511,0.000949683,0.000949683,0.000949683
46,759.77,1.54541,1.05732,0.00466,0.7876,0.56687,0.63746,0.41554,1.38904,0.92619,0.00446,0.000946016,0.000946016,0.000946016
47,774.023,1.5548,1.04584,0.00471,0.64276,0.60543,0.61979,0.39949,1.42869,0.97063,0.00469,0.00094235,0.00094235,0.00094235
48,787.955,1.52171,1.05857,0.00474,0.72186,0.60101,0.64599,0.40376,1.39618,0.97231,0.00456,0.000938684,0.000938684,0.000938684
49,805.229,1.53091,1.02959,0.00459,0.80243,0.57548,0.6349,0.4005,1.42772,0.96449,0.00469,0.000935018,0.000935018,0.000935018
50,819.062,1.5288,1.02918,0.0046,0.80867,0.54751,0.62689,0.40685,1.41681,0.96944,0.00479,0.000931351,0.000931351,0.000931351
51,836.358,1.5374,1.04364,0.0045,0.73077,0.59238,0.64216,0.41471,1.39955,0.92924,0.00452,0.000927685,0.000927685,0.000927685
52,850.456,1.52424,1.04528,0.00454,0.81221,0.57453,0.65319,0.40894,1.44814,0.94306,0.00504,0.000924019,0.000924019,0.000924019
53,867.778,1.53238,1.06161,0.0054,0.75551,0.56335,0.63939,0.41637,1.388,0.97729,0.00441,0.000920352,0.000920352,0.000920352
54,882.195,1.56432,1.09328,0.00467,0.79485,0.59723,0.68884,0.43374,1.3536,0.89826,0.00438,0.000916686,0.000916686,0.000916686
55,896.256,1.52461,1.03209,0.00455,0.72723,0.58359,0.63277,0.40669,1.39574,0.94052,0.00463,0.00091302,0.00091302,0.00091302
56,913.684,1.50822,1.0344,0.00455,0.74867,0.63055,0.65773,0.41275,1.43816,0.91745,0.0049,0.000909353,0.000909353,0.000909353
57,927.727,1.50419,1.01843,0.00452,0.69557,0.59918,0.64607,0.41469,1.38866,0.93063,0.00462,0.000905687,0.000905687,0.000905687
58,944.933,1.50042,1.00815,0.00434,0.71491,0.61053,0.66194,0.40873,1.49101,0.92789,0.00489,0.000902021,0.000902021,0.000902021
59,959.258,1.48066,0.99595,0.00462,0.80372,0.60364,0.65529,0.42968,1.41774,0.93156,0.00459,0.000898355,0.000898355,0.000898355
60,976.51,1.49754,0.99693,0.0045,0.71748,0.64687,0.66907,0.44514,1.38642,0.89526,0.00464,0.000894688,0.000894688,0.000894688
61,991.272,1.52329,1.00371,0.00454,0.69346,0.65567,0.66479,0.42519,1.43033,0.88878,0.00479,0.000891022,0.000891022,0.000891022
62,1008.87,1.49115,0.98292,0.00443,0.83406,0.61105,0.69286,0.44872,1.40731,0.87479,0.00465,0.000887356,0.000887356,0.000887356
63,1023.44,1.49299,0.98939,0.00445,0.75439,0.61896,0.69026,0.43493,1.43982,0.90017,0.0047,0.000883689,0.000883689,0.000883689
64,1037.92,1.47373,0.98847,0.00447,0.78048,0.60202,0.66591,0.44207,1.3974,0.89973,0.00437,0.000880023,0.000880023,0.000880023
65,1055.47,1.51478,1.03315,0.00459,0.70684,0.60604,0.65183,0.43235,1.35877,0.8974,0.00418,0.000876357,0.000876357,0.000876357
66,1070.33,1.48157,0.95712,0.00431,0.77461,0.65226,0.68537,0.44784,1.36224,0.91019,0.00435,0.000872691,0.000872691,0.000872691
67,1087.84,1.47466,0.97304,0.00439,0.77072,0.65526,0.70439,0.45945,1.37803,0.87806,0.00424,0.000869024,0.000869024,0.000869024
68,1102.45,1.47837,0.97652,0.00459,0.72787,0.63363,0.6645,0.42961,1.41039,0.90758,0.00442,0.000865358,0.000865358,0.000865358
69,1120.24,1.48613,0.96394,0.00426,0.69606,0.6571,0.68692,0.44191,1.40772,0.88022,0.00433,0.000861692,0.000861692,0.000861692
70,1134.9,1.43653,0.95117,0.00449,0.7587,0.62502,0.68623,0.45356,1.34496,0.88106,0.0043,0.000858025,0.000858025,0.000858025
71,1152.81,1.47267,0.9561,0.0042,0.7905,0.64402,0.71757,0.45926,1.40564,0.87684,0.00462,0.000854359,0.000854359,0.000854359
72,1167.56,1.48272,0.94022,0.00429,0.79818,0.656,0.72059,0.45188,1.43033,0.86892,0.00461,0.000850693,0.000850693,0.000850693
73,1185.3,1.47383,0.9395,0.0042,0.78147,0.61551,0.67354,0.45247,1.33611,0.85202,0.0042,0.000847026,0.000847026,0.000847026
74,1199.78,1.47257,0.95499,0.00427,0.78374,0.65816,0.70076,0.46807,1.36225,0.83917,0.00425,0.00084336,0.00084336,0.00084336
75,1214.58,1.47712,0.96636,0.00442,0.80316,0.64422,0.70846,0.45834,1.42871,0.85935,0.00461,0.000839694,0.000839694,0.000839694
76,1232.12,1.45808,0.93944,0.00426,0.7675,0.6604,0.71153,0.45924,1.39545,0.83307,0.00448,0.000836027,0.000836027,0.000836027
77,1245.84,1.46718,0.93632,0.00416,0.76045,0.64314,0.68682,0.46543,1.26965,0.86048,0.00374,0.000832361,0.000832361,0.000832361
78,1263.24,1.47775,0.94873,0.00433,0.73263,0.67417,0.70664,0.45904,1.40513,0.87313,0.00458,0.000828695,0.000828695,0.000828695
79,1277.3,1.47947,0.94481,0.00425,0.85112,0.62507,0.70543,0.46334,1.36904,0.86282,0.00435,0.000825029,0.000825029,0.000825029
80,1294.53,1.47289,0.9338,0.0041,0.68691,0.64363,0.67379,0.43114,1.44066,0.88457,0.0047,0.000821362,0.000821362,0.000821362
81,1308.65,1.47025,0.94238,0.0043,0.70234,0.64797,0.68563,0.44453,1.42722,0.88434,0.00445,0.000817696,0.000817696,0.000817696
82,1322.64,1.44951,0.91567,0.00416,0.84618,0.63222,0.71235,0.46766,1.32487,0.81448,0.00412,0.00081403,0.00081403,0.00081403
83,1339.87,1.40851,0.89453,0.00424,0.77735,0.62748,0.679,0.44959,1.3644,0.82775,0.00426,0.000810363,0.000810363,0.000810363
84,1353.8,1.46891,0.90179,0.00408,0.76799,0.6365,0.6945,0.46092,1.38471,0.81552,0.00442,0.000806697,0.000806697,0.000806697
85,1371.04,1.44017,0.90335,0.00423,0.75459,0.63561,0.678,0.44233,1.35647,0.84222,0.00436,0.000803031,0.000803031,0.000803031
86,1384.97,1.43022,0.91321,0.00437,0.72796,0.63578,0.68049,0.45156,1.3604,0.82767,0.00439,0.000799365,0.000799365,0.000799365
87,1402.49,1.47939,0.93759,0.00432,0.79457,0.65115,0.71149,0.45814,1.38965,0.83782,0.00437,0.000795698,0.000795698,0.000795698
