epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,37.8726,1.24965,0.07135,0.00326,0.65906,0.41455,0.45246,0.3112,1.40765,0.11446,0.00458,0.0010627,0.0010627,0.0010627
2,52.2568,1.36537,0.09196,0.00388,0.69483,0.40123,0.46296,0.29744,1.50401,0.12084,0.00548,0.001089,0.001089,0.001089
3,64.1085,1.40135,0.09483,0.00402,0.55292,0.41482,0.43648,0.2913,1.42063,0.12092,0.00497,0.001067,0.001067,0.001067
4,75.8839,1.38309,0.0943,0.00383,0.49631,0.40726,0.43339,0.28393,1.45071,0.12738,0.00501,0.00104501,0.00104501,0.00104501
5,89.8595,1.3513,0.09122,0.00376,0.63389,0.40892,0.45478,0.29374,1.48631,0.11569,0.00523,0.00102301,0.00102301,0.00102301
6,101.555,1.34821,0.09175,0.0038,0.70694,0.45909,0.50476,0.34251,1.37719,0.10582,0.00442,0.00100101,0.00100101,0.00100101
7,115.745,1.3471,0.09059,0.00383,0.64188,0.43981,0.48179,0.32762,1.38526,0.11293,0.00451,0.000979013,0.000979013,0.000979013
8,127.488,1.32016,0.08982,0.00366,0.64556,0.50482,0.52835,0.37909,1.26518,0.09675,0.00384,0.000957015,0.000957015,0.000957015
9,139.03,1.31699,0.08807,0.00368,0.69852,0.49618,0.53995,0.37792,1.28088,0.10155,0.0038,0.000935018,0.000935018,0.000935018
10,150.607,1.28692,0.08499,0.00358,0.69162,0.50531,0.56388,0.36603,1.42837,0.10217,0.00435,0.00091302,0.00091302,0.00091302
11,162.705,1.28855,0.08302,0.0034,0.64432,0.51779,0.53528,0.36706,1.29677,0.10234,0.00419,0.000891022,0.000891022,0.000891022
12,174.801,1.28168,0.08297,0.00336,0.72747,0.48931,0.54178,0.38512,1.30484,0.09421,0.00409,0.000869024,0.000869024,0.000869024
13,192.236,1.22674,0.08024,0.00329,0.66258,0.48754,0.56354,0.40707,1.21402,0.09706,0.0034,0.000847026,0.000847026,0.000847026
14,205.395,1.28559,0.08065,0.00335,0.67346,0.5583,0.57771,0.40319,1.26823,0.0937,0.00379,0.000825029,0.000825029,0.000825029
15,216.85,1.23213,0.07947,0.00333,0.73,0.5235,0.58716,0.4162,1.24148,0.09327,0.0035,0.000803031,0.000803031,0.000803031
16,228.695,1.2741,0.08019,0.00342,0.77472,0.55537,0.61647,0.43506,1.16834,0.0959,0.00343,0.000781033,0.000781033,0.000781033
17,240.805,1.24741,0.07805,0.00338,0.66938,0.53403,0.57153,0.40047,1.20926,0.09346,0.00349,0.000759035,0.000759035,0.000759035
18,255.288,1.23233,0.07398,0.0032,0.72175,0.55067,0.60772,0.4401,1.16485,0.08703,0.00324,0.000737037,0.000737037,0.000737037
19,267.362,1.21,0.07265,0.0032,0.67007,0.58122,0.60773,0.4429,1.17794,0.08678,0.00324,0.00071504,0.00071504,0.00071504
