epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,14.9654,1.77024,3.39305,2.19073,0.00473,11.2821,0.76878,0.22373,0.2103,0.13978,0.76045,0.21419,0.20062,0.11473,1.52652,2.3974,1.95439,0.00447,0,0.000322222,0.000322222,0.000322222
2,28.9212,1.72057,2.76954,1.37551,0.00425,6.95299,0.67158,0.3023,0.31122,0.19265,0.65398,0.2771,0.28616,0.14284,1.58993,2.33358,1.46044,0.00467,0,0.000642576,0.000642576,0.000642576
3,44.9697,1.71003,2.6331,1.05855,0.00424,3.87555,0.66804,0.29388,0.30394,0.18074,0.64809,0.27722,0.27185,0.12607,1.71728,2.42229,1.10762,0.00524,0,0.000949729,0.000949729,0.000949729
4,58.7011,1.78981,2.76209,0.95348,0.00474,2.74996,0.31573,0.30066,0.31022,0.19476,0.488,0.25392,0.26538,0.14012,1.62493,2.63268,0.90938,0.00513,0,0.0009406,0.0009406,0.0009406
5,74.4683,1.76958,2.70312,0.85266,0.00453,2.20719,0.50693,0.309,0.30479,0.18253,0.49295,0.28312,0.2674,0.1382,1.71363,2.48372,1.03723,0.00543,0,0.0009208,0.0009208,0.0009208
6,87.3924,1.74755,2.6167,0.82332,0.00465,1.82828,0.32285,0.30656,0.30575,0.1856,0.46456,0.27708,0.26689,0.12685,1.63393,2.58045,1.01455,0.00516,0,0.000901,0.000901,0.000901
7,100.414,1.72798,2.59568,0.79239,0.00448,1.44692,0.41274,0.33185,0.32885,0.19746,0.39214,0.29665,0.28853,0.14615,1.66441,2.43467,0.81958,0.0053,0,0.0008812,0.0008812,0.0008812
8,117.079,1.70976,2.50557,0.73034,0.00433,1.13218,0.40118,0.33973,0.33711,0.20733,0.61121,0.28489,0.29867,0.15514,1.62139,2.44098,0.82733,0.00519,0,0.0008614,0.0008614,0.0008614
9,130.735,1.71903,2.5464,0.75077,0.00432,1.10392,0.73655,0.31185,0.35191,0.20796,0.72913,0.27864,0.31596,0.16585,1.71464,2.4435,0.81001,0.00539,0,0.0008416,0.0008416,0.0008416
10,147.026,1.67883,2.44994,0.74338,0.00461,1.06211,0.56842,0.3031,0.34026,0.19862,0.54119,0.2838,0.30086,0.15006,1.69661,2.32491,0.83726,0.00508,0,0.0008218,0.0008218,0.0008218
11,160.04,1.66337,2.43697,0.71994,0.00419,1.06465,0.57896,0.29628,0.32987,0.20071,0.55013,0.28078,0.29408,0.14413,1.63737,2.26554,0.85635,0.00496,0,0.000802,0.000802,0.000802
12,176.071,1.74976,2.51401,0.73258,0.00428,1.02204,0.4376,0.35123,0.36679,0.2259,0.46431,0.29739,0.32295,0.16933,1.59149,2.37655,0.75954,0.00472,0,0.0007822,0.0007822,0.0007822
13,189.279,1.65103,2.42673,0.69107,0.00406,0.99616,0.41755,0.36328,0.34553,0.22024,0.40937,0.33644,0.31376,0.16404,1.54377,2.20313,0.74894,0.00455,0,0.0007624,0.0007624,0.0007624
