epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,23.4974,1.73254,3.38815,3.30049,0.00475,4.17885,0.76592,0.2335,0.25016,0.18187,0.77236,0.22133,0.23664,0.13803,1.45246,2.59326,2.56766,0.00419,0,0.00326087,0.00326087,0.0706522
2,45.7714,1.6317,2.78448,1.96172,0.00402,1.43788,0.59471,0.29787,0.31534,0.2208,0.59087,0.27383,0.28942,0.16786,1.45065,2.48914,1.72586,0.004,0,0.00657244,0.00657244,0.0406304
3,67.7089,1.65224,2.73306,1.67344,0.00388,1.32584,0.61065,0.30059,0.32558,0.22348,0.60834,0.26716,0.29226,0.16921,1.46197,2.51587,1.64144,0.00417,0,0.00986201,0.00986201,0.0105867
4,88.4897,1.68874,2.72587,1.61196,0.00402,1.33957,0.6459,0.33397,0.35416,0.23687,0.60396,0.31382,0.30721,0.16928,1.5024,2.41169,1.50423,0.00433,0,0.009901,0.009901,0.009901
5,110.531,1.66161,2.66272,1.53285,0.00387,1.28131,0.63556,0.33851,0.3598,0.23599,0.60705,0.31455,0.31841,0.17452,1.51115,2.40354,1.57114,0.00411,0,0.009868,0.009868,0.009868
6,132.502,1.65884,2.59728,1.47975,0.00378,1.14675,0.68117,0.35147,0.37841,0.24776,0.59154,0.30699,0.32399,0.17988,1.48613,2.3698,1.47897,0.00402,0,0.009835,0.009835,0.009835
7,153.131,1.64091,2.55065,1.47031,0.00382,1.11324,0.58238,0.3419,0.3757,0.24754,0.51553,0.30846,0.32265,0.17682,1.48511,2.29376,1.40753,0.00391,0,0.009802,0.009802,0.009802
8,174.557,1.6159,2.54098,1.43372,0.00397,1.08054,0.53843,0.36699,0.39395,0.25665,0.64715,0.31935,0.33786,0.19182,1.47073,2.34259,1.39507,0.00402,0,0.009769,0.009769,0.009769
9,196.156,1.64134,2.58883,1.46495,0.00394,1.08313,0.63342,0.36588,0.40481,0.265,0.5557,0.3265,0.34552,0.1934,1.46992,2.26953,1.3458,0.00412,0,0.009736,0.009736,0.009736
10,216.867,1.61357,2.49419,1.40223,0.00386,1.05182,0.64992,0.36864,0.40796,0.26172,0.50007,0.32775,0.35403,0.19423,1.50231,2.35466,1.33376,0.00423,0,0.009703,0.009703,0.009703
