epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
1,19.673,1.22327,0.08959,0.00353,0.63817,0.44979,0.44707,0.27079,1.68924,0.31685,0.00479,0.000972222,0.000972222,0.00125
2,36.3737,1.43259,0.13658,0.00496,0.68993,0.37562,0.46271,0.26015,1.73703,0.23517,0.0054,0.000999023,0.000999023,0.000999023
3,55.0911,1.4988,0.14582,0.00515,0.59738,0.43241,0.46023,0.25649,1.78927,0.33801,0.0053,0.000996097,0.000996097,0.000996097
4,71.0046,1.49478,0.14961,0.00523,0.61147,0.3773,0.4275,0.25164,1.68507,0.19594,0.00479,0.000991232,0.000991232,0.000991232
5,90.0864,1.47197,0.14598,0.0052,0.66662,0.48392,0.5051,0.30269,1.65614,0.19707,0.00447,0.000984449,0.000984449,0.000984449
6,105.942,1.43742,0.13937,0.00502,0.74768,0.42077,0.51737,0.28958,1.77775,0.17393,0.00501,0.000975773,0.000975773,0.000975773
7,124.6,1.45597,0.1341,0.00471,0.65146,0.44141,0.51279,0.31044,1.71922,0.14084,0.00478,0.000965239,0.000965239,0.000965239
8,140.641,1.39918,0.12887,0.00488,0.76047,0.49776,0.54783,0.32935,1.74406,0.13375,0.00501,0.000952889,0.000952889,0.000952889
9,157.146,1.43873,0.12856,0.00475,0.7466,0.46668,0.52511,0.3127,1.71319,0.15766,0.00478,0.000938772,0.000938772,0.000938772
10,178.725,1.39697,0.12359,0.00467,0.67191,0.51417,0.51695,0.3084,1.63239,0.14468,0.00479,0.000922942,0.000922942,0.000922942
11,197.665,1.39112,0.12343,0.00476,0.70424,0.53419,0.57418,0.35224,1.66588,0.13052,0.00464,0.000905463,0.000905463,0.000905463
12,214.345,1.35452,0.11709,0.00449,0.80601,0.5127,0.58064,0.35512,1.68069,0.1306,0.00457,0.000886404,0.000886404,0.000886404
13,233.285,1.35632,0.11604,0.0044,0.78855,0.49802,0.5992,0.38707,1.60304,0.13115,0.00408,0.000865839,0.000865839,0.000865839
14,252.177,1.33992,0.11294,0.00436,0.8418,0.53272,0.58906,0.37541,1.65106,0.12477,0.00455,0.000843851,0.000843851,0.000843851
15,269.027,1.30081,0.10622,0.00409,0.81621,0.4837,0.59842,0.37688,1.60125,0.12115,0.00421,0.000820525,0.000820525,0.000820525
16,286.185,1.3051,0.10957,0.0042,0.70383,0.57985,0.5986,0.36294,1.59276,0.12462,0.00418,0.000795954,0.000795954,0.000795954
17,306.36,1.28939,0.10582,0.00419,0.7061,0.54439,0.6016,0.38293,1.62784,0.12045,0.00427,0.000770234,0.000770234,0.000770234
18,322.682,1.2749,0.10311,0.00395,0.73435,0.57862,0.62489,0.40196,1.63474,0.11589,0.0044,0.000743468,0.000743468,0.000743468
19,341.761,1.27618,0.101,0.00393,0.81045,0.54898,0.62436,0.41186,1.63503,0.12246,0.00431,0.000715761,0.000715761,0.000715761
20,359.397,1.28383,0.09633,0.00393,0.8009,0.56331,0.63986,0.41163,1.58285,0.10904,0.00406,0.000687222,0.000687222,0.000687222
21,379.252,1.2329,0.09538,0.00398,0.78382,0.56389,0.62025,0.41068,1.54736,0.11057,0.0039,0.000657963,0.000657963,0.000657963
22,396.316,1.22836,0.09073,0.00376,0.7855,0.55276,0.62247,0.39445,1.62064,0.10339,0.00414,0.000628101,0.000628101,0.000628101
23,415.56,1.21252,0.08933,0.00381,0.81962,0.54501,0.62963,0.42011,1.54658,0.10842,0.00389,0.000597754,0.000597754,0.000597754
24,433.058,1.19756,0.08603,0.00353,0.79178,0.56965,0.65677,0.43113,1.52186,0.10149,0.00386,0.00056704,0.00056704,0.00056704
25,453.4,1.1956,0.08429,0.0035,0.76619,0.57885,0.65209,0.41352,1.66091,0.10317,0.00444,0.000536081,0.000536081,0.000536081
26,473.42,1.18779,0.08599,0.00358,0.85686,0.54519,0.66276,0.44862,1.42689,0.0988,0.00353,0.000505,0.000505,0.000505
27,491.427,1.18969,0.08264,0.00348,0.86164,0.53853,0.65756,0.43751,1.53333,0.10462,0.00389,0.000473919,0.000473919,0.000473919
28,510.749,1.15886,0.07881,0.00333,0.76492,0.57172,0.66751,0.44662,1.49743,0.10342,0.00373,0.00044296,0.00044296,0.00044296
29,527.687,1.13718,0.07584,0.00339,0.80798,0.58725,0.66274,0.4465,1.43571,0.10314,0.00354,0.000412246,0.000412246,0.000412246
30,547.471,1.15545,0.07819,0.00323,0.82082,0.58019,0.6628,0.44098,1.4956,0.10357,0.00363,0.000381899,0.000381899,0.000381899
31,563.481,1.14643,0.07478,0.00315,0.79352,0.58748,0.67593,0.45319,1.49708,0.09537,0.00357,0.000352037,0.000352037,0.000352037
32,583.399,1.10529,0.07214,0.00305,0.80591,0.60127,0.67337,0.45794,1.47391,0.09789,0.00368,0.000322778,0.000322778,0.000322778
33,600.729,1.08138,0.07277,0.00315,0.82574,0.57737,0.67232,0.47259,1.43333,0.09381,0.0035,0.000294239,0.000294239,0.000294239
34,620.573,1.10759,0.07139,0.00293,0.80958,0.59659,0.67467,0.47745,1.38931,0.09677,0.00331,0.000266532,0.000266532,0.000266532
35,638.097,1.06507,0.06812,0.00289,0.80092,0.5932,0.66498,0.47238,1.37971,0.09415,0.00324,0.000239766,0.000239766,0.000239766
36,657.785,1.03912,0.06592,0.00282,0.77191,0.5992,0.66879,0.4741,1.36468,0.09331,0.00311,0.000214046,0.000214046,0.000214046
37,674.14,1.03239,0.06535,0.00287,0.82256,0.57685,0.67476,0.48683,1.35144,0.09128,0.00307,0.000189475,0.000189475,0.000189475
38,694.256,1.03159,0.06559,0.00286,0.76672,0.60674,0.66428,0.48376,1.32293,0.09156,0.00299,0.000166149,0.000166149,0.000166149
