epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,377.031,1.50235,3.11999,0.5676,0.00355,3.42258,0.79707,0.36799,0.41374,0.27512,0.76638,0.33645,0.37306,0.2082,1.38315,2.51208,0.30221,0.00262,0,0.00326389,0.00326389,0.070625
2,397.195,1.38401,2.41789,0.27116,0.00301,1.27117,0.55913,0.46345,0.46253,0.30448,0.53054,0.41422,0.38881,0.20511,1.39172,2.43694,0.18323,0.00256,0,0.00659651,0.00659651,0.0406243
3,419.29,1.389,2.40512,0.20318,0.00294,1.04778,0.61449,0.46966,0.49148,0.3261,0.58276,0.45689,0.45342,0.25257,1.37839,2.4733,0.17096,0.00266,0,0.00992624,0.00992624,0.0106207
4,439.028,1.366,2.35914,0.17906,0.003,0.99038,0.68319,0.44767,0.50195,0.3133,0.60977,0.45284,0.44349,0.2368,1.40814,2.36382,0.16081,0.00275,0,0.00999023,0.00999023,0.00999023
5,461.074,1.41248,2.30134,0.16764,0.00295,0.94368,0.63811,0.44324,0.48076,0.29781,0.62021,0.42617,0.45134,0.25247,1.49979,2.4059,0.16636,0.00298,0,0.00998264,0.00998264,0.00998264
6,482.778,1.34626,2.28494,0.15895,0.00289,0.87171,0.70325,0.48089,0.52537,0.35365,0.63931,0.44249,0.46156,0.24765,1.37849,2.43542,0.14312,0.00263,0,0.00997288,0.00997288,0.00997288
7,502.472,1.36468,2.32649,0.15472,0.003,0.88725,0.69565,0.48429,0.51435,0.35119,0.68674,0.48109,0.4849,0.26309,1.4116,2.2963,0.14441,0.00266,0,0.00996097,0.00996097,0.00996097
8,524.781,1.35704,2.19402,0.15309,0.00296,0.87106,0.6633,0.47059,0.50723,0.34454,0.62787,0.42273,0.44649,0.24269,1.4394,2.47792,0.14751,0.00281,0,0.0099469,0.0099469,0.0099469
9,544.177,1.37041,2.24966,0.15221,0.003,0.82043,0.75782,0.46037,0.50939,0.33874,0.74879,0.45123,0.48297,0.27773,1.42743,2.64877,0.14035,0.00283,0,0.00993068,0.00993068,0.00993068
10,566.694,1.3399,2.19969,0.14662,0.00294,0.83758,0.73118,0.50909,0.55317,0.37421,0.67357,0.49682,0.50197,0.26791,1.42967,2.37846,0.14308,0.00278,0,0.00991232,0.00991232,0.00991232
11,589.2,1.37248,2.2308,0.14531,0.00288,0.7665,0.68026,0.52678,0.5308,0.34763,0.71229,0.46707,0.50731,0.27918,1.44613,2.39524,0.13445,0.0028,0,0.00989183,0.00989183,0.00989183
12,608.31,1.3975,2.25646,0.14271,0.00285,0.75297,0.8096,0.46352,0.51924,0.34255,0.74478,0.42776,0.47148,0.26445,1.41936,2.47002,0.13723,0.00277,0,0.00986922,0.00986922,0.00986922
13,628.816,1.33865,2.19028,0.14128,0.00286,0.75733,0.68595,0.46899,0.50826,0.34568,0.7214,0.46468,0.48915,0.27588,1.407,2.24459,0.13821,0.00265,0,0.00984449,0.00984449,0.00984449
14,652.838,1.36129,2.14105,0.14158,0.00286,0.74269,0.66792,0.52982,0.54261,0.35264,0.67414,0.46946,0.48286,0.25897,1.43362,2.32438,0.17977,0.0027,0,0.00981765,0.00981765,0.00981765
15,673.128,1.32161,2.10854,0.14146,0.00282,0.75624,0.77585,0.49997,0.56923,0.37332,0.69774,0.46413,0.48761,0.26584,1.4277,2.56693,0.13693,0.00271,0,0.00978873,0.00978873,0.00978873
16,693.205,1.37838,2.1598,0.13765,0.00277,0.68686,0.69158,0.49954,0.51962,0.35513,0.63351,0.50359,0.49108,0.28073,1.39765,2.29257,0.1403,0.00271,0,0.00975773,0.00975773,0.00975773
17,715.484,1.3601,2.13677,0.13854,0.00284,0.73955,0.75875,0.51287,0.55884,0.3749,0.79094,0.47155,0.50919,0.28803,1.3907,2.67639,0.13414,0.00263,0,0.00972466,0.00972466,0.00972466
18,735.933,1.36423,2.13444,0.13663,0.0028,0.71644,0.74404,0.49778,0.54952,0.36867,0.75611,0.4519,0.48975,0.26437,1.39257,2.36334,0.12925,0.00255,0,0.00968955,0.00968955,0.00968955
19,758.084,1.30379,2.03754,0.13293,0.00272,0.67755,0.73759,0.49076,0.55372,0.38232,0.682,0.46468,0.49235,0.27718,1.4551,2.38315,0.13754,0.00272,0,0.00965239,0.00965239,0.00965239
20,777.828,1.34175,2.08543,0.13451,0.00277,0.70113,0.78229,0.48432,0.54822,0.37354,0.76337,0.45798,0.48088,0.26394,1.40005,2.34804,0.12911,0.00275,0,0.00961322,0.00961322,0.00961322
21,800.143,1.31044,1.99724,0.1305,0.00272,0.63357,0.72138,0.50781,0.5428,0.37526,0.70854,0.47672,0.50451,0.27872,1.4038,2.43569,0.13157,0.00265,0,0.00957205,0.00957205,0.00957205
22,821.207,1.32992,2.06761,0.13504,0.00282,0.70396,0.68369,0.52283,0.53036,0.35402,0.6533,0.48319,0.4714,0.25049,1.4347,2.24856,0.1325,0.00278,0,0.00952889,0.00952889,0.00952889
23,840.67,1.31201,2.03496,0.12946,0.00269,0.63597,0.81897,0.45826,0.54457,0.37804,0.72265,0.43432,0.47799,0.26292,1.37808,2.37388,0.13902,0.00266,0,0.00948377,0.00948377,0.00948377
24,862.693,1.30592,2.04327,0.12792,0.00258,0.60621,0.71255,0.53828,0.56922,0.38112,0.72314,0.46773,0.5057,0.2776,1.45581,2.48716,0.1332,0.00281,0,0.00943671,0.00943671,0.00943671
25,882.769,1.29394,2.02475,0.1274,0.00262,0.61983,0.74972,0.50732,0.55494,0.38617,0.78343,0.42976,0.49786,0.27968,1.38983,2.5283,0.13032,0.0026,0,0.00938772,0.00938772,0.00938772
26,905.346,1.35646,2.14012,0.12863,0.00272,0.6326,0.71628,0.50774,0.54328,0.36054,0.77708,0.4272,0.47982,0.26325,1.42131,2.6284,0.13506,0.00276,0,0.00933683,0.00933683,0.00933683
27,927.054,1.31977,2.09334,0.12967,0.00272,0.67371,0.76738,0.53399,0.55874,0.38403,0.73723,0.51006,0.52648,0.30243,1.42228,2.34437,0.13196,0.00278,0,0.00928405,0.00928405,0.00928405
28,947.094,1.27506,1.94934,0.134,0.0027,0.6299,0.78937,0.52238,0.56781,0.37565,0.71542,0.45292,0.48137,0.25715,1.41257,2.37067,0.12924,0.00266,0,0.00922942,0.00922942,0.00922942
29,969.129,1.32367,1.96854,0.12545,0.00267,0.58238,0.77383,0.52153,0.56767,0.38905,0.69767,0.46005,0.49921,0.26819,1.39698,2.3389,0.13433,0.00264,0,0.00917296,0.00917296,0.00917296
30,991.359,1.32514,2.03418,0.12756,0.00276,0.63627,0.76578,0.52734,0.59038,0.40419,0.82932,0.41454,0.51752,0.28614,1.39548,2.37994,0.12655,0.0026,0,0.00911469,0.00911469,0.00911469
31,1011.47,1.32614,2.04145,0.12635,0.00262,0.61317,0.71407,0.52052,0.54248,0.38724,0.6994,0.45127,0.48169,0.2771,1.38705,2.40067,0.12506,0.00253,0,0.00905463,0.00905463,0.00905463
32,1033.28,1.30406,1.98678,0.12512,0.00267,0.60907,0.77928,0.5197,0.56678,0.39518,0.7217,0.47791,0.50811,0.29478,1.39058,2.41023,0.12832,0.00264,0,0.00899282,0.00899282,0.00899282
33,1053.36,1.34246,2.02485,0.12323,0.00253,0.60358,0.81926,0.48761,0.58412,0.39865,0.7656,0.44561,0.50869,0.26992,1.41465,2.3334,0.12839,0.00266,0,0.00892928,0.00892928,0.00892928
34,1075.11,1.31315,1.98488,0.12106,0.00252,0.58082,0.7846,0.52232,0.59635,0.40952,0.7029,0.45985,0.50799,0.29481,1.41342,2.40233,0.12858,0.00259,0,0.00886404,0.00886404,0.00886404
35,1097.07,1.27155,1.94319,0.12222,0.00254,0.61306,0.75165,0.51066,0.56417,0.38955,0.67464,0.51159,0.50777,0.28397,1.41812,2.29798,0.12751,0.00267,0,0.00879713,0.00879713,0.00879713
36,1116.98,1.29445,1.97514,0.12384,0.00261,0.59214,0.85792,0.51956,0.59802,0.40965,0.76923,0.45852,0.51098,0.29205,1.42549,2.34355,0.12552,0.00271,0,0.00872857,0.00872857,0.00872857
37,1139.13,1.32028,1.95933,0.12072,0.00257,0.58438,0.80749,0.51343,0.59707,0.40687,0.85754,0.44533,0.52183,0.28326,1.41817,2.34871,0.12605,0.00267,0,0.00865839,0.00865839,0.00865839
38,1161.14,1.29614,1.94484,0.11831,0.00247,0.58224,0.78431,0.52876,0.59122,0.40432,0.74758,0.4624,0.51055,0.28403,1.4201,2.26542,0.12761,0.00267,0,0.00858664,0.00858664,0.00858664
39,1180.99,1.28481,1.97374,0.1193,0.00259,0.57626,0.77464,0.54496,0.5863,0.40952,0.70266,0.51733,0.52752,0.31243,1.3996,2.40048,0.12959,0.00261,0,0.00851333,0.00851333,0.00851333
