epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,108.594,1.16454,1.77897,0.11009,0.00257,0.54308,0.64813,0.35119,0.3856,0.22601,0.61905,0.30791,0.31859,0.14976,1.86404,3.4462,0.22885,0.00508,0,0.000979167,0.000979167,0.0011875
2,136.814,1.42612,2.29895,0.16029,0.00382,0.90951,0.69681,0.40413,0.44963,0.26801,0.64164,0.36585,0.39025,0.19348,1.75669,2.88084,0.35731,0.00446,0,0.000999023,0.000999023,0.000999023
3,162.786,1.44261,2.27923,0.16339,0.0039,0.9315,0.5942,0.41524,0.42952,0.27128,0.6285,0.37635,0.40195,0.20391,1.70035,2.81683,0.22929,0.00413,0,0.000996097,0.000996097,0.000996097
4,190.569,1.45037,2.24841,0.15858,0.0039,0.8582,0.71618,0.36845,0.4334,0.27397,0.6817,0.34596,0.3945,0.21205,1.73987,2.76764,0.23403,0.00455,0,0.000991232,0.000991232,0.000991232
5,218.375,1.44583,2.25092,0.16335,0.00408,0.90746,0.7649,0.40483,0.46595,0.28771,0.70872,0.36904,0.41136,0.21046,1.71331,2.87947,0.17622,0.00412,0,0.000984449,0.000984449,0.000984449
6,246.25,1.39707,2.16113,0.15283,0.00397,0.82087,0.73892,0.42545,0.49427,0.31615,0.6944,0.40079,0.43844,0.22781,1.70403,2.83136,0.16544,0.00401,0,0.000975773,0.000975773,0.000975773
7,273.906,1.40529,2.12514,0.14729,0.00363,0.7593,0.76752,0.42804,0.50677,0.3143,0.7216,0.39906,0.45579,0.2154,1.73037,2.69502,0.16695,0.00411,0,0.000965239,0.000965239,0.000965239
8,298.904,1.41029,2.18486,0.14732,0.00377,0.75953,0.80476,0.43448,0.48683,0.30171,0.74608,0.39631,0.42398,0.21013,1.70186,2.60201,0.16649,0.00407,0,0.000952889,0.000952889,0.000952889
9,325.802,1.37947,2.10858,0.14841,0.00366,0.72785,0.69059,0.46765,0.50012,0.30644,0.6535,0.42455,0.44132,0.21894,1.66618,2.76373,0.16967,0.00399,0,0.000938772,0.000938772,0.000938772
10,353.12,1.34454,2.04742,0.14112,0.00366,0.68341,0.7051,0.43151,0.51331,0.34219,0.78326,0.36985,0.47232,0.24854,1.60565,2.5674,0.15681,0.00376,0,0.000922942,0.000922942,0.000922942
11,380.665,1.38031,2.08736,0.14656,0.00363,0.7489,0.78013,0.42287,0.49637,0.31891,0.72695,0.39259,0.45004,0.23824,1.6536,2.49776,0.15807,0.0038,0,0.000905463,0.000905463,0.000905463
12,405.514,1.36579,2.05601,0.14078,0.00358,0.71552,0.73478,0.49148,0.51542,0.33157,0.67421,0.45448,0.47107,0.24987,1.64534,2.49789,0.15166,0.00377,0,0.000886404,0.000886404,0.000886404
13,432.217,1.33796,2.02497,0.13706,0.0035,0.68286,0.75233,0.44271,0.51814,0.33878,0.7348,0.39943,0.452,0.2415,1.59069,2.59065,0.15722,0.00362,0,0.000865839,0.000865839,0.000865839
14,458.896,1.34359,1.96842,0.13516,0.00331,0.64248,0.72663,0.46759,0.50854,0.33321,0.70631,0.46292,0.47158,0.24685,1.59153,2.51711,0.15048,0.00363,0,0.000843851,0.000843851,0.000843851
15,485.596,1.32467,1.92859,0.13412,0.00337,0.63139,0.77399,0.44822,0.50535,0.32871,0.79319,0.43425,0.46713,0.26058,1.61535,2.42156,0.15452,0.00399,0,0.000820525,0.000820525,0.000820525
16,510.418,1.28361,1.90597,0.12999,0.0033,0.5898,0.74596,0.4633,0.54777,0.36462,0.71099,0.44514,0.48902,0.2789,1.58771,2.43489,0.14026,0.00372,0,0.000795954,0.000795954,0.000795954
17,538.755,1.31299,1.93983,0.13066,0.00314,0.63367,0.72183,0.4858,0.54582,0.36262,0.77397,0.45213,0.49887,0.2796,1.56215,2.52764,0.14881,0.00341,0,0.000770234,0.000770234,0.000770234
18,565.546,1.2772,1.93474,0.1272,0.00313,0.61364,0.79954,0.45099,0.53621,0.3616,0.74429,0.41671,0.49444,0.24978,1.55383,2.38121,0.14987,0.00359,0,0.000743468,0.000743468,0.000743468
19,590.431,1.25416,1.84312,0.12442,0.00313,0.55192,0.81212,0.45269,0.5353,0.3626,0.73689,0.42613,0.48129,0.25237,1.54854,2.39971,0.14991,0.00356,0,0.000715761,0.000715761,0.000715761
20,617.16,1.24071,1.8495,0.118,0.00302,0.51134,0.79381,0.45578,0.53956,0.36767,0.72272,0.45368,0.49953,0.29306,1.51741,2.33953,0.14212,0.00329,0,0.000687222,0.000687222,0.000687222
21,644.739,1.20353,1.7546,0.11124,0.00298,0.46075,0.76479,0.48234,0.54442,0.36635,0.71617,0.4733,0.49792,0.27786,1.56914,2.44985,0.14253,0.0035,0,0.000657963,0.000657963,0.000657963
22,671.635,1.22006,1.75748,0.10851,0.00283,0.48063,0.81739,0.48334,0.54873,0.37491,0.76245,0.46606,0.48724,0.27148,1.4898,2.35109,0.14627,0.00321,0,0.000628101,0.000628101,0.000628101
23,698.41,1.17604,1.72416,0.10963,0.00284,0.43284,0.77156,0.47812,0.5396,0.36655,0.7485,0.4485,0.4784,0.27061,1.50848,2.35765,0.13574,0.00326,0,0.000597754,0.000597754,0.000597754
24,723.426,1.18605,1.68786,0.10412,0.00275,0.46014,0.70659,0.51073,0.54242,0.38077,0.66983,0.48612,0.49419,0.2743,1.48334,2.32927,0.14179,0.00317,0,0.00056704,0.00056704,0.00056704
25,750.348,1.19323,1.76806,0.10643,0.0027,0.42935,0.78107,0.46598,0.54247,0.37542,0.74455,0.44248,0.48256,0.27832,1.47912,2.31833,0.14087,0.00318,0,0.000536081,0.000536081,0.000536081
26,777.281,1.19865,1.73697,0.10116,0.00255,0.43541,0.81082,0.51164,0.5802,0.39268,0.74852,0.46508,0.51967,0.27863,1.46504,2.3012,0.1353,0.00293,0,0.000505,0.000505,0.000505
27,804.65,1.16348,1.69475,0.10359,0.00244,0.42533,0.7778,0.49227,0.57392,0.38296,0.84053,0.43924,0.50914,0.27774,1.46574,2.44722,0.13931,0.00297,0,0.000473919,0.000473919,0.000473919
28,829.487,1.14808,1.68005,0.1023,0.00247,0.42655,0.79952,0.51783,0.57678,0.39719,0.83448,0.45283,0.51234,0.28514,1.47029,2.34336,0.14224,0.00299,0,0.00044296,0.00044296,0.00044296
29,856.587,1.12154,1.59523,0.09645,0.00248,0.38,0.81068,0.48774,0.56863,0.39081,0.77157,0.46647,0.51111,0.27941,1.46771,2.30873,0.13714,0.00299,0,0.000412246,0.000412246,0.000412246
30,883.645,1.15163,1.66334,0.10113,0.00247,0.41847,0.77006,0.51379,0.58622,0.40105,0.7751,0.47527,0.53745,0.30162,1.47739,2.40634,0.13559,0.00301,0,0.000381899,0.000381899,0.000381899
31,911.398,1.13752,1.65117,0.09582,0.00233,0.39136,0.75093,0.53269,0.58059,0.4044,0.78271,0.4848,0.53379,0.29227,1.43255,2.3288,0.13119,0.00292,0,0.000352037,0.000352037,0.000352037
