epoch,time,train/box_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
21,5582.24,1.22538,0.09095,0.00364,0.73531,0.57296,0.6092,0.38086,1.69938,0.12684,0.00408,0.000657963,0.000657963,0.000657963
22,5819.38,1.23235,0.08995,0.00372,0.72411,0.56702,0.62319,0.41563,1.61737,0.11841,0.00358,0.000628101,0.000628101,0.000628101
1,361.152,1.33867,0.09285,0.00381,0.67935,0.42281,0.47208,0.27818,1.80181,0.17378,0.00433,0.000916667,0.000916667,0.00175
2,382.115,1.46699,0.13357,0.00498,0.54995,0.4223,0.41014,0.23486,1.8716,0.29195,0.00494,0.000999023,0.000999023,0.000999023
3,400.394,1.47174,0.13192,0.00483,0.55394,0.40145,0.4217,0.25019,1.78657,0.22097,0.00464,0.000996097,0.000996097,0.000996097
4,410.551,1.45311,0.1315,0.00473,0.61202,0.38887,0.44712,0.26853,1.81687,0.30959,0.00469,0.000991232,0.000991232,0.000991232
5,421.241,1.40508,0.12717,0.00457,0.60049,0.34192,0.37314,0.21781,1.85038,0.34033,0.00481,0.000984449,0.000984449,0.000984449
6,441.569,1.36459,0.12125,0.00448,0.47453,0.51328,0.4473,0.25486,1.92649,0.20489,0.00517,0.000975773,0.000975773,0.000975773
7,459.968,1.41008,0.12198,0.00428,0.54931,0.42923,0.43263,0.24446,1.9112,0.22271,0.005,0.000965239,0.000965239,0.000965239
8,479.446,1.37834,0.11788,0.00435,0.66716,0.44006,0.49497,0.29306,1.75632,0.21458,0.00441,0.000952889,0.000952889,0.000952889
9,490.467,1.38835,0.11592,0.00423,0.75849,0.46421,0.5256,0.31418,1.81423,0.14831,0.00451,0.000938772,0.000938772,0.000938772
10,510.263,1.34134,0.11455,0.00414,0.75912,0.52595,0.55125,0.33063,1.79218,0.14218,0.00431,0.000922942,0.000922942,0.000922942
11,520.947,1.36716,0.11576,0.00428,0.85932,0.49911,0.58547,0.33904,1.82094,0.15041,0.00448,0.000905463,0.000905463,0.000905463
12,532.502,1.31972,0.11081,0.00411,0.79505,0.50076,0.60071,0.37458,1.76403,0.13888,0.00422,0.000886404,0.000886404,0.000886404
13,550.852,1.32057,0.11171,0.00407,0.82871,0.53088,0.62078,0.41514,1.64399,0.13364,0.00378,0.000865839,0.000865839,0.000865839
14,560.874,1.28881,0.10664,0.00389,0.74697,0.53362,0.60035,0.39312,1.67436,0.12296,0.00377,0.000843851,0.000843851,0.000843851
15,571.688,1.2994,0.10378,0.00386,0.78324,0.55143,0.59065,0.37008,1.75828,0.13065,0.00418,0.000820525,0.000820525,0.000820525
16,589.61,1.30894,0.10236,0.00384,0.80323,0.52593,0.59473,0.38563,1.76857,0.13571,0.00412,0.000795954,0.000795954,0.000795954
17,608.712,1.2738,0.09611,0.00382,0.79618,0.55438,0.61059,0.37448,1.82201,0.1295,0.00428,0.000770234,0.000770234,0.000770234
18,626.821,1.30313,0.09616,0.00386,0.73762,0.54929,0.59987,0.39346,1.67453,0.12213,0.0037,0.000743468,0.000743468,0.000743468
19,637.901,1.25789,0.09615,0.00368,0.78989,0.53453,0.57861,0.37252,1.68984,0.12958,0.00379,0.000715761,0.000715761,0.000715761
20,655.821,1.25428,0.09371,0.0035,0.80271,0.54591,0.60873,0.37911,1.72006,0.12378,0.0042,0.000687222,0.000687222,0.000687222
21,675.566,1.23179,0.09073,0.00362,0.77576,0.52535,0.59007,0.36378,1.69223,0.13476,0.00396,0.000657963,0.000657963,0.000657963
22,685.342,1.23624,0.08996,0.00365,0.76125,0.54329,0.59537,0.40059,1.62181,0.11913,0.00359,0.000628101,0.000628101,0.000628101
23,694.827,1.20633,0.0869,0.00358,0.7038,0.57992,0.6151,0.40865,1.61535,0.11957,0.00344,0.000597754,0.000597754,0.000597754
24,706.299,1.20531,0.08608,0.00344,0.74387,0.55384,0.60562,0.40017,1.61268,0.12709,0.00345,0.00056704,0.00056704,0.00056704
25,724.258,1.23226,0.08611,0.00332,0.75246,0.58165,0.6127,0.39582,1.6818,0.12025,0.00382,0.000536081,0.000536081,0.000536081
26,744.226,1.20666,0.08633,0.00333,0.73841,0.5845,0.60868,0.39081,1.65896,0.11749,0.00372,0.000505,0.000505,0.000505
27,753.956,1.19722,0.08377,0.00327,0.78792,0.56787,0.61106,0.39495,1.66866,0.11845,0.0037,0.000473919,0.000473919,0.000473919
28,763.597,1.21061,0.08271,0.00329,0.77612,0.55653,0.62511,0.40471,1.68591,0.11771,0.00379,0.00044296,0.00044296,0.00044296
