epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/l1_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/l1_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
1,35.8616,1.2876,1.99144,0.13166,0.00285,0.6419,0.71805,0.38599,0.45622,0.28974,0.73328,0.39436,0.43947,0.23342,1.6797,2.843,0.18373,0.00369,0,0.000985915,0.000985915,0.00112676
2,56.9236,1.43558,2.29283,0.15835,0.0036,0.88559,0.6923,0.41447,0.46777,0.30364,0.66229,0.42439,0.44004,0.23465,1.7456,2.76258,0.17246,0.00423,0,0.000999023,0.000999023,0.000999023
3,74.0058,1.43131,2.25712,0.15925,0.00385,0.89078,0.75196,0.39381,0.43874,0.26676,0.72101,0.38881,0.40635,0.21542,1.7745,3.12462,0.17539,0.00439,0,0.000996097,0.000996097,0.000996097
4,94.6852,1.48248,2.2355,0.16085,0.00391,0.8427,0.7076,0.41694,0.43486,0.26668,0.68885,0.40702,0.40421,0.20409,1.76076,3.15913,0.1728,0.00427,0,0.000991232,0.000991232,0.000991232
5,112.356,1.41726,2.19183,0.15628,0.00382,0.8063,0.76409,0.39785,0.45315,0.28438,0.72124,0.3975,0.42405,0.2283,1.75309,2.74539,0.17392,0.0042,0,0.000984449,0.000984449,0.000984449
6,130.897,1.4199,2.17205,0.15125,0.00383,0.77064,0.70478,0.456,0.47892,0.30564,0.71119,0.43303,0.43616,0.23568,1.71858,2.75964,0.16524,0.00411,0,0.000975773,0.000975773,0.000975773
7,148.013,1.44192,2.1832,0.14973,0.00357,0.74571,0.79947,0.43513,0.50098,0.3224,0.74848,0.43106,0.46808,0.23982,1.71414,2.65311,0.1799,0.00432,0,0.000965239,0.000965239,0.000965239
8,169.676,1.44035,2.21444,0.15079,0.00366,0.7055,0.67838,0.4478,0.49115,0.31592,0.73243,0.40989,0.44395,0.24585,1.71459,2.96399,0.16712,0.00428,0,0.000952889,0.000952889,0.000952889
9,186.654,1.42801,2.18492,0.15272,0.00378,0.76254,0.70429,0.40078,0.47478,0.29569,0.70095,0.3906,0.43345,0.22641,1.72142,2.78475,0.17622,0.00416,0,0.000938772,0.000938772,0.000938772
10,204.914,1.41332,2.19294,0.15313,0.00366,0.7743,0.67216,0.43431,0.46784,0.30631,0.68619,0.38042,0.41826,0.21945,1.66056,2.69805,0.16999,0.00375,0,0.000922942,0.000922942,0.000922942
11,221.824,1.39828,2.13684,0.15183,0.00367,0.74611,0.64966,0.43294,0.46798,0.30019,0.7181,0.3951,0.43738,0.24862,1.70218,2.61497,0.16799,0.0039,0,0.000905463,0.000905463,0.000905463
12,242.808,1.39078,2.08672,0.14669,0.0036,0.67863,0.74358,0.45685,0.50437,0.31656,0.71976,0.43391,0.46518,0.24926,1.66776,2.5878,0.15832,0.00401,0,0.000886404,0.000886404,0.000886404
13,261.978,1.36692,2.05065,0.13996,0.00359,0.64183,0.72959,0.43884,0.49097,0.31261,0.70438,0.41989,0.45375,0.24399,1.6772,2.60301,0.16807,0.00404,0,0.000865839,0.000865839,0.000865839
14,278.524,1.37456,2.05237,0.14064,0.00342,0.63926,0.76271,0.44161,0.4855,0.30956,0.74337,0.41376,0.45168,0.24032,1.69089,2.62649,0.16645,0.00406,0,0.000843851,0.000843851,0.000843851
15,298.914,1.36451,2.08938,0.144,0.00343,0.68287,0.70081,0.42811,0.49367,0.31767,0.67576,0.41902,0.44765,0.25828,1.66792,2.66796,0.15836,0.00406,0,0.000820525,0.000820525,0.000820525
16,316.252,1.34573,1.97416,0.13604,0.0034,0.63027,0.73444,0.46156,0.50798,0.33516,0.73423,0.4138,0.47315,0.27121,1.67632,2.56235,0.15379,0.00389,0,0.000795954,0.000795954,0.000795954
17,336.457,1.37808,2.07116,0.14022,0.00332,0.65641,0.70421,0.45269,0.50299,0.32963,0.697,0.43216,0.47228,0.26558,1.66173,2.69658,0.16004,0.00386,0,0.000770234,0.000770234,0.000770234
18,353.348,1.34879,1.98493,0.13708,0.0034,0.66066,0.75413,0.44088,0.50997,0.33092,0.75943,0.42236,0.47146,0.27073,1.65431,2.5597,0.15488,0.00381,0,0.000743468,0.000743468,0.000743468
19,373.314,1.32554,1.97865,0.13345,0.00322,0.56826,0.66594,0.48452,0.51367,0.33278,0.7517,0.41163,0.47106,0.26318,1.6586,2.5505,0.15407,0.00378,0,0.000715761,0.000715761,0.000715761
20,390.068,1.32863,2.0031,0.13245,0.00317,0.56892,0.70465,0.4643,0.5033,0.33314,0.6764,0.44361,0.46794,0.24854,1.66493,2.60893,0.16001,0.00379,0,0.000687222,0.000687222,0.000687222
